First Name,Second Name,Company,Position,Description,Tags
Balazs,Bertenyi,3GPP,"Chairman, TSG RAN",,WiFiBig Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityIoTCloud ServicesThe Network
Ian,Hughes,451 Research,"Senior Analyst, Internet of Things","Ian Hughes is a Senior Analyst for the Internet of Things practice at 451 Research. He has more than 29 years of experience in emerging technology as a developer, architect and consultant through key technology trends. 

Ian has 20 years of experience at IBM in cross-industry application development. This included automotive, global sporting events, retail and telecoms. 

He was early to the Web development space in 1998 and social media in 2004, and was influential in virtual-worlds adoption in 2006-09. He spent the next seven years at his own consulting company, where he presented a regular emerging technology feature, on a UK Saturday morning children's TV show, built virtual disaster simulators for hospitals, pitched startups to investors, wrote a technology column for a fashion magazine and wrote two sci-fi novels, Reconfigure and Cont3xt, based in a near future of VR, AR, IoT and Quantum Mechanics",The Fourth Industrial Revolution
Mari,Tangredi,4INFO,"SVP & GM, Audience Solutions",,Content & Media
Yossi,Vardi,4YFN,Chairman,"Yossi Vardi is an Israeli investor most famous for being the original investor in ICQ—the first Internet-wide instant messaging system. Vardi has invested in over 50 tech companies in diverse areas of software, energy, Internet, mobile, cleantech, and others. 
Vardi has been an active civil servant in Israel through projects involving energy and infrastructure. He also co-founded Alon, an Israeli oil company. Vardi acted as an advisor to the World Bank and the United Nations Development Program on issues of energy in the developing world.
Vardi has received many awards including The Prime Minister Award, The Industry Award, Entrepreneur of the Year (Tel Aviv University), and the CEO’s Entrepreneurs Hall of Fame from the Collegiate Entrepreneurs’ Organization.",Innovation
Stuart,Revell,5GIC,External Engagement Advisor,"Stuart Revell is the Managing Director of RTACS Ltd and is currently working with the 5GIC University of Surrey on definition, external engagement and adoption of 5G and Internet of Things based technologies and architectures, especially research and usage in Transport, Health and Smart Cities.
Stuart started his career as an Electronics Design Engineer and has spent over 30 years in the technology industry with experience in electronics and ICT R&D; ranging from Industrial Systems to complex ICT and Consumer solutions and has managed international teams covering both commercial and technical disciplines.
Stuart founded RTACS Ltd, a technology consultancy and advisory service company, in 2007 and has worked with organisations such as Cambridge Wireless, techUK, DTG, ICT & DC KTN, InnovateUK (formerly TSB), Digital Catapult, UK Trade & Investment, Ofcom and Freescale Semiconductors. Prior to forming RTACS Ltd, Stuart worked with Freescale Semiconductors, Motorola and Compair Industrial.
Stuart's passion is to grow the UK technology industry through innovation, encouraging increased investment into the sector, fostering collaboration to stimulate UK world leading R&D and chairs industry initiatives connected to multiple sectors and the adjacent industries that increasingly rely on advanced technology systems and solutions.
Outside of work Stuart enjoys football, music, snowboarding and cycling.",WiFiBig Data & AnalyticsEnterprise & Business ITConnected Living – Smart Cities5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityIoTCloud ServicesThe Network
Stuart,Carlaw,ABI Research,Chief Research Officer,"Research Focus

As Chief Research Officer, Stuart Carlaw leads ABI Research’s analyst teams covering global technology markets. Stuart’s primary responsibility is the management of industry research content, technology and market focus, subject matter guidance, product portfolio mix, custom and consulting as well as client engagements and strategic advisory provisioning.

Past Experience, Memberships, Accolades and Media

He brings to the task a deep understanding of the critical issues and technologies, stemming from his immersion in these markets for over decade as both an analyst and an engineer. Prior to joining ABI Research, Stuart was a Telecommunications Technician in the British Army, and then Senior Analyst and later Wireless Research Director at IMS Research. At IMS he was the primary Bluetooth analyst, and responsible for all short range wireless research. He has been quoted and published in a variety of industry and general media, including CNBC, BBC TV, BBC Radio 5, the Financial Times, the Wall Street Journal, EE Times and many more, and has spoken, moderated or participated in many industry events.

Education

Stuart earned a B.Sc (Honours) in Physical Sciences and Business Management from De Montfort University.",Big Data & AnalyticsUser ExperienceMarketing/AdvertisingMedia/Content/EntertainmentNetwork TechnologyNext Generation NetworksApp/Software DevelopmentFuture Services Provider
David,Ventzel,Accelerace,Partner & Investment Director,"Partner in Accelerace, the leading nordic startup accelerator. Also a partner in Overkill Ventures, a Riga based seed fund.

Renowned startup blogger on www.davidventzel.com",Innovation
Bob,Sell,Accenture,"Group Chief Executive – Communications, Media  & Technology",,
Emma,McGuigan,Accenture,"Group Technology Officer,  Communications, Media & Technology","Emma McGuigan is the Group Technology Officer for Accenture’s Communications, Media and Technology operating group. In this role, Emma is responsible for the group’s technology strategy, overseeing current and future partnerships, and positioning around emerging technologies such as machine learning, artificial intelligence and cognitive computing to help drive leading-edge technology consulting and innovation to clients.
Emma has been with Accenture for more than 20 years, joining Accenture after graduating with a Master’s degree in Electronics from the University of Edinburgh in 1994. She is passionate about technology and has spent her career architecting and delivering technology enabled solutions to clients in a range of industries.  Growing up with a variety of technologies from across the ecosystem, custom through packaged, Emma has worked with clients on programs from the cutting edge of innovation to large scale core solutions.  She spent the most recent 3 years as the managing director for Accenture’s Technology business in the UKI and was the global sponsor for Accenture Technology’s talent transformation program, impacting a population of 170,000 people as they rotate to the New.
She has been recognised several times as an industry influencer as a result of her passion for technology and dedication to inspire young women to embark on Science, Technology, Engineering and Maths careers. In 2015 and 2016, Emma was named as one of the 50 most influential women in UK IT by Computer Weekly magazine, was listed in Computer Business Review’s 10 most successful women in UK technology and was the Forward Ladies National Women in Business STEM category winner 2016. In 2012 she was the technology category winner of Women in the City's Woman of Achievement Awards.

In 2013, Emma was made a fellow of The Chartered Institute for IT. She currently serves as a board member of techUK, advisory board member of Digital Leaders and industry advisory board member for the Open University Maths and Computing Science department.

Outside Accenture, Emma is a keen triathlete, a trustee for the Orchid Project and a business advisor to a sustainable development charity.",
Gary,Heffernan,Accenture,"Senior Managing Director - Communications, Media & Technology for Europe","Gary leads Accenture’s Communications, Media & Technology operating unit in Europe, driving growth for consulting, strategy, technology and outsourcing services across all industry segments in the region.
Gary has 26 years of experience in advising Fortune 500 companies implement large-scale transformation as well as post-merger integration programs, including strategic planning, operations management, IT and BPO services. In the early 1990s, Gary spearheaded Accenture’s earliest outsourcing successes and has held a number of senior client account and leadership positions at Accenture.
Gary is a passionate advocate for Inclusion & Diversity and has been a speaker on the topic at key industry events including Mobile World Congress. He is also a regular public speaker on topics such as mergers & acquisitions and digital transformation.
Gary is from Scotland and lives in Paris with his wife Marlene and their six children. Gary loves most sports, cherishes time spent with his family and feels passionate about transforming the lives of children in Sub Saharan Africa through the Lessons for Life Foundation with wife Marlene.",
Mike,Sutcliff,Accenture Digital,Group CEO,,Applied AI
Ronan,Wisdom,"Accenture, Connected Health",MD,"Ronan leads Accenture’s Connected Health practice which leverages the Internet of Things (IoT) to improve patient outcomes, advance clinical research, and deliver innovative digital services. Ronan has more than 20 years healthcare technology, analytics and IoT experience.

Before joining Accenture, Ronan led and scaled high-growth technology companies focused on healthcare in Europe and the US. He has been responsible for technology, product and operations leadership and is experienced in SaaS and mobile strategies and execution. Ronan also has corporate strategy experience including institutional funding, tuck-in acquisition and successful sales of businesses.

He is a member of the MACH37 Cyber Security Stars Mentor Network and an Electrical Engineering graduate of the Dublin Institute of Technology.",Big Data & AnalyticsUser ExperienceEnterprise & Business ITConnected Living – WearablesConnected Living – mHealthGaming/Virtual Reality/ARSecurityDevicesTech in Society
Claude,Achcar,Actel Consulting,MD,"Claude Achcar is the Founder and Managing Partner of Actel Consulting, a highly specialized boutique technology consulting firm.  The company, founded in 2002, differentiates through independent, deep-dive, and hands-on guidance to deliver implementable and valuable advisory.

Claude has 30 years of ICT experience. He began his career as a research associate with CRIM in Canada followed by eleven years with Nortel Networks in various engineering, marketing, and operations roles.  Prior to Actel Consulting, Claude was MD and VP Asia at Ciena.
Claude is an engineer by training, holding B.Eng. & M.Eng. degrees from Ecole Polytechnique, and an MBA from McGill University, both in Montreal, Canada.",Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSCloud ServicesThe Network
Nico,Goulet,Adara Ventures,Partner,"Nico has managed Venture Capital investments in high-tech companies for the last 17 years. During this period he has been actively involved with more than 25 early stage ventures and served on the board of 22 companies, totalling more than 100 years of tenure, mainly in early stage technology ventures.

 

Nico is a founder and Managing Partner of Adara Ventures. Adara manages over €100 million in capital, across several investment vehicles, with 25+ portfolio companies in the areas of Cybersecurity, Big Data, AI, and the Digital Enterprise.  Adara focuses on companies in the European Atlantic rim (Iberia, France, UK, & Ireland) at the early stages.

 

Nico obtained a BSc degree (Aerospace Engineering) from the E´cole Centrale de Paris, an MSc (Aeronautics & Astronautics) from MIT and an MBA from INSEAD. He is a private pilot and an advanced aerobatics competitor.",Innovation
Amit,Ahuja,Adobe Experience Cloud,"VP, Emerging Businesses","Amit Ahuja is the Vice President of Emerging Businesses at Adobe. In this role, he is responsible for leading the strategic direction and execution across growth initiatives including mobile, machine learning and network services. Prior to this role, Amit was the GM of Adobe’s DMP business. Amit also spent 7 years in Adobe’s Corporate Development Group where he executed numerous transactions including acquisitions of Omniture, Scene7, Efficient Frontier, Demdex and Auditude. Amit joined Adobe via the acquisition of Macromedia where he was in the Corporate Development Group focusing on mobile and video. Amit began his career at Hambrecht & Quist as a technology investment banker and also spent several years at a technology start up. Amit has a B.S. from University of California, Berkeley and a MBA from UCLA’s Anderson School of Management.",Content & Media
James,Buchanan,ADVA,SVP & GM Ensemble,"James is GM of the Ensemble Business Unit, the industry’s leading NVF Infrastructure specialist, offering open uCPE and Secure Cloud Networking solutions to Enterprises and Service Providers globally. He brings experience gained with global telecommunications and high-tech companies, including Covaro Networks, Metera Networks, Nortel Networks and Spar Aerospace.",5GNetwork TechnologyNext Generation NetworksThe Network
David,Grant,Aerial Technologies,CEO,,Innovation
Beatrice,York,Afiniti,"Vice President, Partnerships & Strategy",,
Pierre,Guislain,African Development Bank Group (AfDB),"VP, Private Sector, Infrastructure and Industrialisation","Pierre Guislain, a Belgian national, joined the AfDB Group in December 2016 as Vice-President, Private Sector, Infrastructure and Industrialisation. His areas of responsibility at the Bank also include the financial sector, trade, urban development and information and communication technologies.

Before joining the Bank, Mr. Guislain held the position of Senior Director in charge of Transport and Information and Communication Technology at the World Bank. He also served as Director of the Joint World Bank-IFC-MIGA Business Climate Department and as Co-Director at IFC for Fragile and Conflict Affected countries.

Mr. Guislain is author and editor of publications on private sector development, foreign direct investment, ICT, infrastructure reform and privatisation. He holds a Master's degree in Economics and Public Policy from Princeton University (USA) as well as a Graduate Degree in Law from the l'Université Catholique de Louvain (Belgium).",Future Services Provider
Suman,Kanuganti,Aira,CEO,"Internationally recognized, Suman Kanuganti is Co-Founder & CEO of Aira, an emerging high-tech startup that is the first to bridge the information gap for those with vision loss.

Under Suman, Aira integrates leading technologies (such as smart glasses, Artificial Intelligence and Augmented Reality) — plus interaction of the company’s network of trained remote human and autonomous agents — to permit blind and visually impaired people to access virtually any information and daily assistance in the physical and digital world, when and where they want it. Thus, Aira is rede?ning freedom, mobility and productivity for the 285 million people globally (including the approximately 23 million in America) with vision loss.

In his noted career, which has also included leadership posts at Intuit and Qualcomm, he has been awarded 5 patents (as inventor or co-inventor) in interactive computer devices. He founded Aira in 2015, and has led the company in receiving key industry awards in technology, including being named the 2017 Startup of the Year by the Consumer Technology Association (CTA), Best New Technology ( by PC Magazine) at CES 2017, and Best in Show by CNN at Mobile World Congress 2017 in Barcelona. Suman holds an MBA in Entrepreneurship/Entrepreneurial Studies from the UC San Diego Rady School of Management; a Master's in Computer Engineering from the University of Missouri-Columbia, and a Bachelor's in Electrical and Electronics Engineering from Kakatiya University, India.",Big Data & AnalyticsUser ExperienceEnterprise & Business ITConnected Living – WearablesConnected Living – mHealthGaming/Virtual Reality/ARSecurityDevicesTech in Society
Alexander,Goldin,Alango Technologies Ltd.,Founder & CEO,,
Min,Wanli,Alibaba Cloud,Chief Data Scientist,,Applied AI
John,Gee,Alphonso,"SVP, Business Development","John Gee is a recognized authority on advanced advertising media and technology. He has over 25 years of experience in senior level positions managing sales and business development of traditional TV and digital media advertising products, leading-edge advertising technology and audience data products.

 

John leads Alphonso's efforts to expand its TV data footprint across all platforms. He previously held leadership positions at Wink Communications, OpenTV, TiVo, Navic, Placemedia and Sorenson Media.  He began his broadcast media career managing sales for ABC and NBC affiliates eventually becoming Vice President/General Sales Manager of the New York Times Broadcast Group.

 

A pioneer of addressable and interactive television, John has developed advanced advertising TV campaigns for Pepsi, General Motors, Ford, Kraft, P&G, AT&T and Pfizer. Working with major agencies, he created and marketed the first TV Viewer Engagement studies based on second-by-second set-top box data.",Connected Living – HomesMarketing/AdvertisingMedia/Content/EntertainmentLocation Based ServicesContent & Media
Brian,Huseman,Amazon,"VP, Public Policy","Brian Huseman serves as Vice President of Public Policy at Amazon’s Washington, DC office, leading the company’s US and Americas public policy team.  Brian joined Amazon in May 2012 from Intel, where he was a senior policy counsel. Prior to Intel, Brian worked at the Federal Trade Commission, where he served as Chief of Staff to Chairman Deborah Platt Majoras, as an advisor to Chairman Tim Muris, and as an attorney in the Bureau of Consumer Protection leading technology policy and enforcement actions.

Brian joined the FTC from the US Department of Justice’s Criminal Division where he was a prosecutor in the Organized Crime and Racketeering Division and a Special Assistant U.S. Attorney in the Eastern District of Virginia.  He also served as a judicial law clerk to Judge Sven Erik Holmes of the U.S. District Court for the Northern District of Oklahoma and to the late Chief Judge Henry A. Politz of the U.S. Fifth Circuit Court of Appeals.  Brian has a law degree and a B.A. degree in political science.",The Digital Consumer
Ned,Curic,Amazon Alexa,"VP, Automotive","Mr. Ned Curic has been Vice President of Automotive for Alexa at Amazon.com, Inc. since June 2017. Mr. Curic has more than 20 years of experience in technology field specializing in advanced technology and enterprise security. Before Amazon, he served as the Chief Technology Officer and Group Vice President at Toyota Motor North America Inc. as well he was co-founder and EVP at Toyota Connected, Toyota’s global connected car company. Before Toyota, he worked for Microsoft in various capacities.",The Fourth Industrial Revolution
Ragu,Masilamany,Amdocs,VP & Head of ECOMP/ONAP,"As Vice President and Head of ECOMP/ONAP at Amdocs, Ragu Masilamany is leading the development of NFV/SDN Orchestration Platform and contribution to open source ONAP program, enabling network transformation projects at AT&T and Bell Canada. Ragu is responsible for strategy, system architecture, software development and governance of those strategic projects.

Ragu has over 20 years of experience in building telecom software products; held leadership roles in Product Management, R&D, and Business Management.

A Fulbright Scholar, Ragu holds several patents, has a Master’s degree in Computer Engineering, and is a Senior Member of the IEEE",Big Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityCloud ServicesThe Network
Daniel,Saks,AppDirect,President & Co-CEO,,The Fourth Industrial Revolution
Paul,Williamson,ARM,"VP & GM, IoT Device IP","Paul Williamson is the vice president and general manager of the IoT Device IP Line of Business at Arm. His group leads the development of technologies that are required to secure and connect one trillion connected devices.  Paul has been involved in connected devices since the early days of Bluetooth, developing innovative products for consumer, medical and industrial markets. Prior to joining Arm Paul led the low power wireless division of CSR, a fabless semiconductor business (now part of Qualcomm). Paul started his career in engineering consultancy, working with leading global brands to develop innovative products and services.",The Fourth Industrial Revolution
Andre,Fuetsch,AT&T;,CTO,,5GNetwork TechnologyNext Generation NetworksOSS/BSSIoTThe Network
Bill,Hague,AT&T;,"EVP, Global Connection Management AT&T; Mobility","Bill Hague, Executive Vice President Global Connection Management, is responsible for developing both international and domestic strategy and partnerships around network access and connection agreements. These areas include domestic and international wholesale and retail roaming support, global and national access management and international voice termination. He also manages the company’s wireless operations in the cruise ship business, company wireless merger integrations and global wireless resale operations. Hague had previously served as Executive Vice President-International Development, responsible for developing and implementing international partner and roaming strategies for voice and data for both Cingular Wireless and the former AT&T Wireless, before it was acquired by Cingular. Hague previously managed the former AT&T Wireless’ mergers and acquisitions department on both the national and international front; part of his duties included managing strategic investments. Prior to joining AT&T Wireless, Hague was with Pacific Northwest Cellular/Western Wireless Communications where he headed legal, human resources and regulatory affairs. Prior to that time, he served as a partner at the law firm of Stokes, Eitelbach & Lawrence. Hague currently serves on the board of directors of the global GSM Association, is the Chairman of the GSMA Finance Committee and is Chairman of the GSMA Ltd. He is also president of the African Education Foundation, a private foundation he established in 1980, after serving in the Peace Corps in West Africa. He holds a Bachelor’s Degree from the University of Colorado, a Master’s Degree in Health Administration and a Juris Doctorate degree from the University of Washington.",
Chris,Penrose,AT&T;,"President, IoT Solutions","Chris Penrose is president of AT&T’s Internet of Things (IoT) organization. Chris is responsible for leading AT&T’s global Internet of Things initiatives across industry verticals. This includes auto, agriculture, manufacturing, fleet management, asset tracking, healthcare, drones, energy, smart cities, retail and consumer electronics. Chris and his team operate on a global scale and drive the strategy and execution for highly-secure connectivity, platforms, professional services and end-to-end IoT solutions. From connected cars to connected cities, Chris has led AT&T to become recognized as one of the leading IoT companies in the world. Chris has also been recognized for championing innovation. He spearheaded the creation of the AT&T Drive Studio for connected vehicles, the AT&T Healthcare Foundry and the
AT&T IoT Foundry, all which focus on making it easy for developers and businesses to create and implement IoT solutions.",The Fourth Industrial Revolution
Carme,Fabregas,"ATM (Autoritat del Transport Metropolitá), Barcelona",CTO,,The Fourth Industrial Revolution
Jeremy,Fox,"Atrium TV and Chairman, DRG",CEO,,Content & Media
Johannes,Gungl,Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR),"CEO, Telecommunications and Postal Services Division & Chairman, BEREC 2018","Mr Johannes Gungl is CEO for Telecommunications and Postal Services of the Austrian Regulatory Authority for Broadcasting and Telecommunications (RTR). Johannes Gungl looks back on more than 15 years of experience in the Austrian Telecommunication Industry working in the field of legal and regulatory affairs for several fixed-line and mobile operators.

Prior to his appointment as CEO of RTR in February 2014, he served as General Counsel and Head of Legal & Regulatory Affairs for Orange Austria. In this role he was directly involved in the precedent-setting merger of Orange Austria with Hutchison, which was cleared by the European Commission (EC) following a phase II investigation and the Austrian Competition Authority.  Between 2006 and 2008 Johannes was General Counsel and Compliance Officer for Competition Law to Coca-Cola Hellenic Bottling Corporation in Vienna. Before that he worked for the Austrian mobile operator tele.ring as Head of Legal & Regulatory Affairs until the merger with T-Mobile Austria in 2006, which was also cleared by the EC in a phase II review.

Johannes Gungl holds a law degree from the University Graz and a post-graduate degree for European Law from the University of Innsbruck.",The Fourth Industrial Revolution
Jayant,Kulkarni,Award Solutions,,"With more than 20 years of experience in advanced mobile and networking, Dr. Jayant Kulkarni’s expertise spans next generation technologies and business transformation, including the leading use cases currently under consideration on the journey toward virtual realization. Jayant has been featured at the world’s best networks, bringing technology training to leading wireless operators, manufacturers, as well as new, innovative players looking to take the first steps toward network virtualization. Jayant’s background in wireless, coupled with his expertise in technologies such as NFV, SDN, and OpenStack, both telecom and IT and the impact to mobile operators. Jayant’s experience spans R&D roles at companies like Nortel and Samsung, and as a consultant at McKinsey & Company he served several Fortune 500 companies within the telecom and IT space.",5GNetwork TechnologyNext Generation NetworksThe Network
Mark,Harms,Award Solutions,,"With over 25 years of experience in data communications and wireless, Mark’s expertise spans IoT, 5G, 4G LTE, Cloud Computing, Security, and Network Virtualization. Mark has mastered the art of making complex technologies understandable, bringing technical details with a fun and charismatic style.  His industry insights and ability to clearly present technology concepts in an engaging way enable him to connect with a variety of audiences including hundreds of top-level executives and corporate board members from the world’s best networks. Mark brings technical breadth and energy to every engagement, and has provided expertise to leading service providers on a variety of technologies such as IoT for over six years.  Mark holds a Bachelor’s degree in Computer Science and a patent in wireless technology.",
Bill,Best,Azenby,CEO,"Bill has over 45 years’ experience in telecommunications of which 34 years have been spent in mobile communications. He is a former CTO at the GSM Association, FirstMark Communications & one2one (now BT/EE UK). He held a number of Board Advisory roles in mobile start-ups, and Non-Executive Director positions in Hi Tech companies as well as a partner role in a US based VC firm.  Bill now runs Azenby, a specialist consulting firm in the wireless space and is also involved in creating new products and solutions in the Azenby incubator. Bill is also CEO at floor51 a software solution house and Xpres Messaging. Bill also did some eight years as Chair of Judges for Global Mobile Awards.",WiFiEnterprise & Business ITConnected Living – Smart Cities5GNetwork TechnologyNext Generation NetworksOSS/BSSThe Network
Johnny,Ghibril,B.Yond,VP Technology Solutions,"Johnny Ghibril, Vice President of Solution Architecture, is responsible for designing big data insights and automation solutions with a focus on the telecommunications, healthcare, utilities, and financial services industries. Based on in-depth knowledge and seasoned experience with emerging data management and analytics technologies, Ghibril has been helping carriers define their data strategies, infrastructure design, and solutions development that have helped drive improvements for network optimization, customer experience and relationship management, churn prediction and modeling, strategic network investments, and decision support for all customer-facing channels. Ghibril received a BA in Computer Science from American University of Beirut.  He currently is working on his Master’s in Medical Informatics from Northwestern University.",Big Data & AnalyticsUser ExperienceEnterprise & Business IT5GNetwork TechnologyNext Generation NetworksOSS/BSSCloud ServicesThe Network
Jennifer,Clark,Battle Green Research,General Manager,,The Fourth Industrial Revolution
Sasha,Twining,BBC,Presenter,"Sasha Twining is a well-respected television and radio presenter. 

She’s worked in international news for many years. She was an anchor on Sky News in the UK and lead presenter for the world-wide news channel, Russia Today. Sasha has also worked as a correspondent for both local ITV in the UK, and Network Nine in Australia. 

She is in demand as a debate moderator and conference host, working in many areas including energy, telecommunications, transport, retail and manufacturing.  She lives in London, and currently presents for BBC radio.",
Petri,Lyytikainen,Bell Canada,"VP Network Strategy, Services & Management",,Big Data & Analytics5GNetwork TechnologyNext Generation NetworksOSS/BSSSecurityCloud ServicesThe Network
Harmeen,Mehta,Bharti Airtel Limited,Global CIO & Director Engineering,"Harmeen Mehta is the Global CIO & Director Engineering of Bharti Airtel Limited and as such is responsible for all of IT and Engineering across India, South Asia and 17 countries in Africa. Harmeen also leads the digitization agenda across Bharti Airtel.
Harmeen has over 20 years of experience in Technology with companies such as Banco Bilbao Vizcaya Argentaria (BBVA), Bank of America Merrill Lynch, and HSBC. She also worked as a consultant to British Airways and Qantas. Harmeen has lived in 11 countries and worked across over 30 countries in all continents.
She has held various leadership positions such as Global Head of Corporate, Investment and Private Banking IT at HSBC Global Technology Centres, MD at Merrill Lynch India Technology Services across India, Singapore, Ireland and Canada, and as Asia CIO for Global Markets and Research technology at Bank of America Merrill Lynch. At BBVA, Harmeen was the CIO for Global Markets and Risk and Operations for Corporate and Investment Banking and led large-scale business and IT transformation programs across Europe, US and Latin America.
Harmeen is currently a member of the Cyber Security Taskforce at NASSCOM, India’s leading industry association for IT sector. She has being recognized by Economic Times as top 10 women in the telecom and tech industry across the globe. Under her leadership Airtel recently won the prestigious Global TM forum digital award for Outstanding Contribution to Improved Business Agility Award.",Tech in Society
