our words,missing words
"'grant', 'student'","'curriculum ', 'dissertation ', 'education ', 'scholarship ', 'training ', 'thesis ', 'academician ', 'lecturer ', 'principal ', 'professor ', 'pupil ', 'teacher '"
"'student', 'student', 'assistant'","'academician ', 'lecturer ', 'principal ', 'professor ', 'pupil ', 'teacher ', 'academic '"
"'building', 'college', 'high'","'classroom ', 'dormitory ', 'elementary ', 'nursery ', 'university '"
"'chalk', 'desk', 'book', 'pen'","'backpack ', 'blackboard ', 'calculator ', 'crayon ', 'paper ', 'pencil ', 'sharpener ', 'rubber ', 'eraser ', 'ruler '"
"'ask', 'know', 'learn', 'study', 'spell', 'teach', 'test', 'think', 'train', 'write'","'answer ', 'attend ', 'cheat ', 'erase ', 'explain '"
"'afraid', 'sad'","'angry ', 'annoyed ', 'confused ', 'delighted ', 'disappointed ', 'furious ', 'grouchy ', 'jealous ', 'possessive ', 'regretful ', 'scared ', 'shame ', 'sorrowful ', 'speechless ', 'embarrassed '"
"'feeling', 'glad', 'happy'","'contented ', 'determined ', 'proud ', 'satisfied ', 'startled ', 'surprised '"
"'brakes', 'canopy', 'carbon', 'change', 'control', 'air', 'brakes', 'canopy', 'carbon', 'change'","'accordance ', 'ailerons ', 'aircraft ', 'battery ', 'bracket ', 'carburetor ', 'catalog  ', 'chapter ', 'cockpit ', 'column ', 'cracked ', 'cylinders ', 'degrees ', 'fiber  ', 'accordance ', 'ailerons ', 'filter  ', 'aircraft ', 'battery ', 'fibre  ', 'carburettor ', 'catalogue  ', 'chapter ', 'cockpit ', 'column ', 'cracked ', 'cylinder ', 'degrees ', 'bracket '"
"'fail', 'generator', 'leaf', 'material'","'elevator ', 'engaged ', 'engine ', 'fluid ', 'fuel ', 'fuselage ', 'gasket ', 'hydraulic ', 'injector ', 'inverted ', 'jammed ', 'label ', 'limits ', 'maintenance ', 'manual '"
"'fail', 'generator', 'leaf', 'material'","'elevator ', 'engaged ', 'engine ', 'fluid ', 'fuel ', 'fuselage ', 'gasket ', 'hydraulic ', 'injector ', 'inverted ', 'jammed ', 'label ', 'limits ', 'maintenance ', 'manual '"
"'pitch', 'rough', 'Spark'","'pedals ', 'propeller ', 'reference ', 'repaired ', 'replaced ', 'reverse ', 'rudder ', 'screws ', 'Service ', 'servicing ', 'shimmy ', 'damper ', 'absorber ', 'starboard ', 'starter ', 'undercarriage ', 'variable '"
"'mother', 'father', 'children', 'niece', 'daughter', 'son', 'wife', 'husband'","'ancestor ', 'grandson ', 'grandparent ', 'grandfather ', 'grandmother ', 'aunt ', 'uncle ', 'cousin ', 'nephew ', 'spouse '"
"'sauce', 'honey', 'jam', 'olive', 'salt', 'sauce', 'sugar', 'syrup'","'chili  ', 'ketchup ', 'mayonnaise ', 'mustard ', 'oil ', 'pepper ', 'soy ', 'vinegar '"
"'cheese', 'cream', 'egg', 'fresh', 'milk', 'yolk'","'butter ', 'yogurt  ', 'omelet  ', 'omelet  '"
"'water', 'tea', 'grape', 'hot', 'cold', 'ice'","'juice ', 'coffee ', 'lemonade ', 'orange ', 'skimmed '"
"'fork', 'knife', 'spoon', 'bowl', 'plate', 'cup', 'saucer', 'mug', 'jug', 'pan', 'griddle', 'straw'","'chopsticks ', 'serving ', 'desert ', 'beaker ', 'utensil '"
"'bland', 'cold', 'full', 'hot', 'sweet', 'thirsty'","'bitter ', 'delicious ', 'hungry ', 'salty ', 'sour ', 'spicy '"
"'apple', 'cherry', 'grape', 'lemon', 'peach', 'lime', 'pear'","'cantaloupe ', 'guava ', 'raspberry ', 'strawberry ', 'orange ', 'apricot ', 'blueberry ', 'cranberry ', 'melon '"
"'porridge', 'wheat', 'steamed', 'oat'","'rice ', 'corn ', 'rice ', 'gruel ', 'sticky '"
"'cinnamon', 'ginger', 'herb', 'mint', 'parsley', 'sugar'","'basil ', 'coriander ', 'rosemary ', 'tarragon ', 'thyme ', 'cilantro ', 'curry ', 'galangal ', 'kaffir ', 'turmeric '"
"'beef', 'chicken', 'ham', 'meat', 'rib', 'steak', 'turkey'","'bacon ', 'liver ', 'meatball ', 'pork ', 'venison ', 'sausage '"
"'bean', 'nut'","'cashew ', 'pea ', 'peanut ', 'pecan ', 'walnut ', 'soybean ', 'brazil '"
"'trout', 'crab', 'fish', 'octopus', 'shrimp', 'squid'","'catfish ', 'salmon ', 'plaice ', 'tuna ', 'haddock ', 'herring ', 'cuttlefish ', 'jellyfish ', 'lobster ', 'seafood '"
"'cake', 'pie', 'snack', 'chip', 'crisp'","'pretzel ', 'tortilla ', 'chocolate ', 'dessert ', 'donut ', 'popcorn ', 'tart '"
"'banana', 'coconut'","'lychee ', 'mango ', 'papaya ', 'pineapple ', 'rambutan ', 'tamarind ', 'durian ', 'jackfruit ', 'longan ', 'mangosteen ', 'pomegranate ', 'pomelo '"
"'lettuce', 'onion', 'radish'","'cabbage ', 'carrot ', 'cauliflower ', 'chili  ', 'corn ', 'eggplant ', 'garlic ', 'kale ', 'potato ', 'pumpkin ', 'spinach ', 'taro ', 'tomato ', 'tuber ', 'vegetable '"
"'bake', 'cook', 'drink', 'eat', 'fry', 'heat', 'prepare', 'steam', 'stir', 'toast'","'barbecue ', 'boil ', 'microwave ', 'parboil '"
"'coal', 'gas', 'cell'","'charcoal ', 'oil ', 'firewood ', 'gasoline ', 'kerosene ', 'oil ', 'battery ', 'fuel '"
"'cave', 'forest', 'hill', 'jungle', 'lake', 'ocean', 'sea', 'stream', 'valley'","'area ', 'desert ', 'field ', 'gulf ', 'mountain ', 'region ', 'river '"
"'department', 'free', 'public', 'tax', 'vote', 'welfare'","'civil ', 'commission ', 'constitution ', 'council ', 'democracy ', 'freedom ', 'international ', 'kingdom ', 'liberty ', 'ministry ', 'population ', 'elect '"
'foreign',"'culture ', 'defense  ', 'education ', 'justice ', 'interior ', 'transportation '"
"'king', 'queen'","'ambassador ', 'diplomat ', 'emperor ', 'governor ', 'magistrate ', 'mayor ', 'minister ', 'politician ', 'president ', 'prince ', 'princess ', 'undersecretary '"
"'bathroom', 'sink', 'drain', 'faucet', 'mirror', 'tap', 'tile'","'bathtub ', 'drawer ', 'lever ', 'shower ', 'flush ', 'toilet '"
"'scale', 'soap', 'toy', 'duck'","'towel ', 'mouthwash ', 'razor ', 'shaver ', 'sponge ', 'paper ', 'towel ', 'toothbrush ', 'toothpaste '"
"'bed', 'frame', 'table', 'mattress', 'mattress', 'picture', 'spring', 'wardrobe', 'mirror'","'bedside ', 'cabinet ', 'bedspread ', 'comforter ', 'double ', 'dressing ', 'headboard ', 'perfume ', 'pillow ', 'pillowcase ', 'sheet '"
"'chair', 'cup', 'pot', 'table', 'plate', 'dinner', 'dish', 'lamp', 'tray', 'saucer', 'soup', 'sugar', 'bowl', 'table', 'wine', 'glass'","'sideboard ', 'tabletop '"
"'bench', 'chair', 'table', 'plant', 'seat', 'tray', 'wardrobe'","'cushion ', 'bookcase ', 'bookshelf ', 'cabinet ', 'cupboard ', 'furniture ', 'pillow '"
"'coat', 'hook', 'rack', 'door', 'lock', 'fuse', 'mirror', 'rack', 'light', 'step', 'umbrella'","'briefcase ', 'hanger ', 'doorknob ', 'drawer ', 'entrance ', 'front ', 'handrail ', 'cabinet ', 'stair '"
"'stove', 'stove', 'toaster', 'sink'","'blender ', 'coffee ', 'cooker ', 'microwave ', 'mincer ', 'oven ', 'pressure ', 'grinder ', 'dishwasher ', 'freezer ', 'squeezer ', 'mixer ', 'refrigerator ', 'timer '"
"'tin', 'dish', 'pot', 'dish', 'pan', 'cup', 'spoon', 'pot', 'lid', 'whisk', 'whistle'","'corkscrew ', 'kettle ', 'pitcher ', 'potholder ', 'tablespoon ', 'teaspoon ', 'thermos ', 'wok '"
"'chair', 'table', 'clock', 'tray'","'cushion ', 'bookshelf ', 'cabinet ', 'houseplant ', 'fireplace ', 'mantle ', 'cushion ', 'throw ', 'pillow '"
'advisor',"'administrator ', 'businessman ', 'executive ', 'manager ', 'receptionist ', 'secretary '"
"'cook', 'boss', 'clerk', 'apply', 'fire', 'quit'","'chef ', 'employee ', 'resign ', 'retired ', 'hire '"
"'dentist', 'doctor', 'nurse'","'practitioner ', 'gynecologist  ', 'neurologist ', 'obstetrician ', 'pediatrician  ', 'pharmacist ', 'psychologist '"
"'poet', 'translator'","'correspondent ', 'editor ', 'interpreter ', 'journalist ', 'newsreader ', 'reporter ', 'writer ', 'anchor ', 'presenter '"
'researcher',"'anthropologist ', 'archeologist  ', 'architect ', 'astronaut ', 'biologist ', 'chemist ', 'ecologist ', 'economist ', 'engineer ', 'geographer ', 'geologist ', 'historian ', 'lecturer ', 'librarian ', 'linguist ', 'mathematician ', 'professor ', 'scientist ', 'teacher '"
"'barber', 'carpenter', 'coach', 'farmer', 'guard', 'guide'","'blacksmith ', 'bodyguard ', 'electrician ', 'firefighter ', 'fisherman ', 'hairdresser ', 'janitor ', 'masseuse ', 'mechanic ', 'notary ', 'plumber ', 'police ', 'postman ', 'repairman '"
"'cement', 'glass', 'marble', 'brick', 'sand', 'wood', 'stone', 'straw', 'mud'","'plaster ', 'slate ', 'mortar ', 'bamboo '"
'gold',"'aluminium  ', 'copper ', 'iron ', 'nickel ', 'silver ', 'steel ', 'stainless ', 'titanium ', 'platinum '"
"'angle', 'calculus', 'geometry'","'diameter ', 'infinity ', 'parallel ', 'perpendicular ', 'radius ', 'tangent ', 'algebra ', 'maths ', 'mathematics ', 'trigonometry '"
"'add', 'sum', 'equal'","'average ', 'difference ', 'divide ', 'equation ', 'multiply ', 'product ', 'quotient ', 'remainder ', 'solution ', 'root ', 'subtract '"
"'circle', 'cube', 'shape', 'sphere', 'triangle'","'cone ', 'cylinder ', 'diagonal ', 'polygon ', 'rectangle ', 'rhombus ', 'semicircle ', 'square ', 'trapezoid '"
"'cubic', 'foot', 'inch', 'mile', 'yard', 'gallon', 'liter', 'gram'","'area ', 'metric ', 'centimeter  ', 'kilometer  ', 'meter  ', 'millimeter  ', 'measure ', 'quantity '"
"'cold', 'cancer', 'health', 'heart', 'attack', 'sick', 'sore', 'throat'","'fever ', 'flu ', 'germ ', 'headache ', 'medicine ', 'symptom ', 'disease ', 'unwell ', 'virus '"
"'lieutenant', 'general'","'captain ', 'colonel ', 'corporal ', 'private ', 'sergeant '"
"'april', 'may', 'june', 'july', 'august'","'january ', 'february ', 'march ', 'september ', 'october ', 'november ', 'december '"
"'flute', 'horn', 'music', 'note', 'reed', 'pipe', 'string', 'violin'","'accordion ', 'dulcimer ', 'fiddle ', 'guitar ', 'harmonica ', 'keyboard ', 'musical ', 'oboe ', 'piano '"
"'bark', 'branch', 'bush', 'grass', 'leaf', 'plant', 'seed', 'thorn', 'tree', 'weed'","'flower ', 'nature ', 'flower ', 'sprout '"
"'cruel', 'genius', 'habit', 'honest', 'humble', 'kind', 'polite', 'smart', 'stubborn'","'personality ', 'coarse ', 'conceited ', 'dishonest ', 'hardworking ', 'lazy ', 'manners ', 'obedient ', 'stupid '"
"'bakery', 'bank', 'barber', 'cinema', 'mall'","'bookshop ', 'cafe ', 'factory ', 'theater  ', 'restaurant ', 'supermarket ', 'theatre  '"
"'apartment', 'bus', 'church', 'hospital', 'house', 'museum', 'office', 'school', 'temple'","'airport ', 'terminal ', 'terminal ', 'library ', 'mosque ', 'shrine ', 'station '"
"'football', 'badminton', 'baseball', 'basketball', 'fishing', 'golf', 'hockey', 'sport'","'bowling ', 'cycling ', 'gymnastic ', 'hiking ', 'hunting ', 'skiing ', 'snooker ', 'volleyball ', 'weightlifting '"
,"'athlete ', 'diver ', 'dancer ', 'bowler ', 'cyclist ', 'footballer ', 'gymnast ', 'hunter ', 'referee ', 'runner ', 'skier ', 'swimmer ', 'golfer '"
"'day', 'decade', 'hour', 'month', 'second', 'week', 'year'","'millennium ', 'minute '"
"'afternoon', 'dusk', 'midnight', 'morning', 'night', 'noon', 'sunrise', 'sunset'","'daytime ', 'evening ', 'nighttime '"
"'cloud', 'fog', 'hail', 'rain', 'snow', 'storm', 'sunshine', 'to', 'wind'","'monsoon ', 'rainbow ', 'forecast ', 'typhoon '"
"'gemini', 'zodiac'","'leo ', 'libra ', 'pisces ', 'sagittarius ', 'Scorpia ', 'taurus ', 'virgo '"
