word-list,list of words,our words,missing from our words
List of Cool Words from the 70s,"Skinney - This refer to the real deal or truth about something.
Can You Dig It - This word means do you understand?
Far Out - This word means cool
That's Sick! - This word refers to odd or unusual things.
The Man - The man means any authority, corporations, police, government. This word is still used today.
To The Max! - Take it to the maximum. Taking it all the way. The best that it can be.
You Know - This was said at the end of nearly every sentence, you know?
Book Or booking - This word means to run quickly and usually away from something. Example: They were booking it down the road because the cops were chasing after them.
Catch You On The Flip-side - This term means that someone will see you later.
Chill or Be Cool - This word when said was meant for you or whoever it was said toward to just simply relax.
Fab - This word is simple it means fabulous. For example, That skirt is fab.
Get down, or, boogie - These terms mean to go dancing.
Like - During the 70s this word was used to start just about every sentence. For example, Like, I like saw this like really cute boy looking at me.
Right on! - These two words were used when you agreed with something someone said.
Can you dig it - These four little words were asked when someone wanted to know if you understood what they said.
Cats - This word referred to people or meant people.
Cool
Hey Good Looking
Awesome
Sweet",,
List of Descriptive Adjectives,"aggressive
alert
alive
ancient
anxious
arrow
attractive
average
bad
beautiful
beige
better
big
bitter
black
blue
brown
bumpy
busy
careful
cheap
chestnut
clear
cold
combative
cool
cotton
crazy
crooked
crystal
dangerous
dead
delicious
dim
drab
dry
dull
dusty
elderly
excited
expensive
fancy
fat
few
filthy
fresh
fuzzy
giant
good
graceful
granite
green
handsome
happy
hard
harsh
hollow
hot
huge
hungry
large
lazy
light
long
low
massive
mellow
melodic
miniscule
modern
new
noisy
oak
octagonal
old
orange
oval
petite
pink
plain
plastic
poor
puny
purple
quiet
rainy
red
rich
right
round
sad
safe
salty
sane
scared
shallow
sharp
shiny
short
shrill
shy
skinny
small
soft
solid
sore
sour
square
steep
sticky
strong
superior
sweet
swift
tan
tart
teak
teeny
terrible
tiny
tired
tremendous
triangular
ugly
unusual
weak
weary
wet
whispering
white
widen
wild
wooden
woolen
wrong
yellow
young



baby-faced
bow-legged
broken-hearted
bull-headed
candy-stripped
four-sided
freckle-faced
hard-hearted
hard-nosed
heavy-handed
high-heeled
ice-cold
left-handed
life-giving
long-legged
long-winded
next-door
pigeon-toed
red-blooded
self-centered
short-tempered
sure-footed
thin-skinned
three-headed
tight-fisted



American
Antarctic
Atlantic
Buddhist
Californian
Canadian
Chinese
Christian
Cuban
Ecuadorian
English
French
German
Greek
Hindu
Indonesian
Italian
Mayan
Mexican
Pacific
Peruvian
Roman
Romanian
Spanish
Turkish



",,
List of Descriptive Words,"Adorable
Adventurous
Acclaimed
Accomplished
Acrobatic
Brave
Bright
Brilliant
Composed
Concerned
Concrete
Conventional
Delirious
Demanding
Flustered
Focused
Foolhardy
Gregarious
Grim
Handsome
Handy
Intelligent
Intrepid
Joyful
Jubilant
Keen
Kooky
Lanky
Lazy
Limp
Luxurious
Mediocre
Mellow
Miserable
Nocturnal
Organic
Ornate
Ordinary
Powerless
Practical
Precious
Puzzled
Questionable
Quirky
Angrily
Apathetically
Amusingly
Assertively
Begrudgingly
Blissfully
Coolly
Dutifully
Eagerly
Faintly
Frivolously
Greedily
Hastily
Intelligently
Kindly
Lazily
Meagerly
Methodically
Neglectfully
Normally
Pointlessly
Quickly
Rapidly
Rashly
Seriously
Tactfully
Tragically
Vacantly
Vividly
Weirdly
Zealously
Baking
Biking
Cooking
Crying
Diving
Driving
Eating
Getting
Hammering
Hiking
Joking
Jumping
Laughing
Nailing
Making
Mixing
Painting
Preparing
Running
Swimming
Swinging
Talking
Trying
Walking
Writing
Agreeable
Ambitious
Amusing
Analytical
Artistic
Assertive
Boisterous
Brilliant
Buff
Cantankerous
Comical
Charming
Childish
Cheerful
Competent
Conceited
Conscientious
Cooperative
Crabby
Cranky
Demure
Dependable
Depressed
Dramatic
Exacting
Ferocious
Generous
Helpful
Hesitant
Meticulous
Modest
Outspoken
Passionate
Picky
Playful
Quiet
Quirky
Reliable
Religious
Short
Superficial
Surly
Sweet
Timid
Tired
Thin
Ugly
Unbalanced
Wary
Weak
Bent
Bitter
Broken
Bruised
Cold
Complex
Complicated
Crunchy
Dependable
Elaborate
Elegant
Flowery
Icy
Giant
Grimy
Grotesque
Huge
Milky
Moist
Salty
Sour
Spicey
Steamy
Sweet
Tiny
Warm
Welcoming
Amber
Amethyst
Apricot
Aqua
Beige
Black
Blue
Brass
Bronze
Brown
Burgundy
Cardinal
Cerulean
Champagne
Charcoal
Chocolate
Cinnamon
Cobalt
Copper
Coral
Crimson
Emerald
Eggplant
Flax
Fuchsia
Gold
Green
Grey
Indigo
Ivory
Jade
Khaki
Lavender
Lemon
Lilac
Linen
Magenta
Maroon
Mauve
Mustard
Orange
Peach
Pear
Periwinkle
Persimmon
Pink
Platinum
Plum
Pumpkin
Purple
Red
Rose
Ruby
Russet
Rust
Sapphire
Scarlet
Seashell
Sepia
Silver
Tan
Tangerine
Taupe
Teal
Thistle
Turquoise
Ultramarine
Vermilion
Violet
White
Wisteria
Yellow
Circle
Cone
Crescent
Cube
Cylinder
Decagon
Heptagon
Hexagon
Globe
Octagon
Oval
Parallelogram
Pentagon
Pentagram
Prism
Rectangle
Rhombus
Sexagon
Sphere
Star
Square
Triangle
Brisk
Breezy
Chilly
Cloudy
Cold
Cool
Drizzling
Freezing
Hot
Humid
Mild
Pouring
Raining
Snowing
Sprinkling
Steamy
Sunny
Warm
Windy",,
List of Descriptive Words for Appearance,"brunette
blonde
brown-eyed
blue-eyed
albino
rosy
heavy
thin
fat
thick
short
tall
muscular
cute
attractive
masculine
feminine
petite
tiny
large
small
pierced
tattooed
scarred
painted
polished
Asian
black
African American
white
Caucasian
Indian
Spanish
Irish
German
Italian
Greek
happy
moody
sad
tired
angry
grumpy
sick
ill
mean
cruel
intelligent
dumb
stupified
shocked
angered
excited
aroused
displaced
dirty
clean
rusty
musty
musky
dangerous
hazardous
bad
good
evil
sharp
colorful
boring
weird
angled
shaved
carved
painted
unusual
unique
horrible
terrifying
scary
calming
peaceful
tranquil
organized
disorganized
messy
harrowing
creepy
fluffy
patterned
checkered
circled
encircled
soft
hard
alive
dead
adequate
important
innocent
dark
light
black
white
blue
green
orange
red
yellow
purple
magenta
vicious
violent
adorable
alert
beautiful
bright
cloudy
rainy
snowy
icy
slippery
glowing
gleaming
glamorous
fashionable
dowdy
tacky
steep
pale
stormy",,
List of Descriptive Words to Critique Art,"Flowing
Delicate
Simple
Bold
Thick
Thin
Subtle
Contrasting
Muted
Dramatic
Rough
Fine
Smooth
Coarse
Uneven
Organic
Curvaceous
Geometric
Angular
Elongated
Swirling
Flowing
Dramatic
Large
Small
Intimate
Miniature
Monumental
Dramatic
Subtle
Strong
Bold
Vibrant
Subtle
Pale
Earthy
Naturalistic
Saturation- refers to the brightness of colour
Geometric  refers to the shapes such as circles, triangles, squares, etc.
Organic  free flowing or rounded
Symmetry  meaning it is equal on both sides
Asymmetrical  unequal proportioned elements
Flat tones  no tonal effect in the colour
Negative space  the space around the actual form of art
Depth  the illusion of space
Broken colour  dabs or small amounts of colour
Focal point  the spot that stands out in the artwork
Distorted  a shape that is changed and no longer looks proportioned",,
List of English Words of Foreign Origin,"African - banana, jumbo, yam, zebra
Chinese - ketchup, pekoe, shanghai
French - catalogue, essence, gourmet, justice, massage, perfume, regret, terror
Japanese - anime, karaoke, tycoon, hibachi, sushi
Norwegian - fjord, krill, ski, slalom
Tagalog  boondocks, manila, ylang ylang (a flower)
Welsh - corgi (dog), crag, penguin
Alarm - Italian - to arms
Ballot - Italian - small pebble or ball, people would vote by casting a pebble into a box
Cantelope - Italian - singing wolf, a town in Italy where the melon was grown
Companion - from both Spanish and French, but with a Latin root - one with whom you would eat bread
Denim - French - the cloth was developed in Nimes and called Serge di Nimes, later shortened to di Nimes, then to denim. It was also made in Genoa, Italy, hence the name jeans
Genuine - Italian - placed on the knees. In Rome, a father placed a newborn on his knee to legally claim it as his
Muscle - Latin - little mouse, when you flex a muscle, it was called a little mouse that runs beneath your skin
Night - German - first meant day because the day began at sunset, like many other ancient civilizations
Ostracize - Greek - pottery, if someone was a danger to the town, the people would write their vote on chunks of pottery to decide to banish him or not
Slogan - Celtic - two words together that mean battle cry
Victim - Latin - an animal that was to be sacrificed
Worm - Old English - dragon
There are many interesting or unusual words in the English language. There are also some unique ways of looking at them. Here are some examples:
Queueing is the only word with five vowels in a row.
Iouea contains all vowels and is a sea sponge.
Fashion and cushion are the only words that end with shion.
Suspicion, scion, and coercion are the only words that end in cion.
Having all vowels in order or reverse order are: abstemious, facetious, unnoticeably, subcontinental, and uncomplimentary.
These words have six consonants consecutively: catchphrase, latchstring, sightscreen, watchspring, and watchstrap.
These words all have more than one doubled letter: addressee, balloon, bookkeeper, coffee, committee, keenness, roommate, and succeed.
Allegator - a person who alleges
Batrachomyomachy - to make a mountain out of a molehill
Bowyang - a strap holding your pants legs
Bumbershoot - umbrella
Cantankerous - grouchy
Comeuppance - just dessert
Crapulence - uncomfortable after over-eating or over-drinking
Discombobulate - confuse
Eructation - belch
Fard - paint on the face or makeup
Fartlek - refers to a training routine
Firkin - small barrel
Flummox - to frustrate
Formication - the sensation of ants crawling on your skin
Hobbledehoy - clumsy or rude boy
Lollygag - to move slowly
Mollycoddle - to spoil a person
Skedaddle - move quickly
Snollygoster - untrustworthy person
Vomitory - an exit
Yahoo - hillbilly",,
List of English Words of German Origin,"Abseil (descend by rope)
Angst (fear, depression, anger)
Ansatz (entry, mathematical approach)
Anschluss (connection)
Automat (machine)
Bildungsroman (a coming of age story)
Delikatessen (proper name for a deli)
Doppelgnger (someones double, often used in literature)
Edelweiss (type of flower)
Fest (feast, celebration, party)
Gedenkenexperiment (experiment)
Gelandesprung (ski term)
Gesundheit (bless you)
Hinterland (backwoods)
Kaput (not working, broken)
Kindergarten (grade before first grade)
Kitsch (fake art, art mocking something else)
Kraut (herb, cabbage)
Leitmotif (theme, often used in literature)
To plunder (taking goods by force)
Poltergeist (ghost)
Realpolitik (political practice)
Rucksack (backpack)
Ubermensch (superhuman)
Wanderlust (pleasure, desire, wanting)
Wunderkind (child prodigy)
Leberwurst (type of food)
Gestapo (police force)
Nudel (a type of pasta, a pool tool)
Cobalt (a color)
Homburg (a felt hat, generally for a man)
Panzer (a type of German tank)
Bretzel (a pretzel of the soft or hard variety)
Streusel (a dessert type of food)
Langlauf (cross country running or skiing)
Sparerib (a breed of meat)
Kuchen (coffee cakes)
Stollen (sweet yeast bread)
Waltz (a formal dance)
Umlaut (a specific rhetoric device involving vowels)
Autobahn (an expressway)
Rucksack (knapsack)
Meistersinger (member of a certain German guild from the 15th and 16th centuries)
Vorlage (a skiing position)
Pitchblende (a mineral)
Dachshund (breed of dog)
Haversack (a bag worn over the shoulder)
Echt (true, genuine)
Pumpernickel (type of bread)
Graupel (particulars of snow)
Spritz (a small amount of something, usually a liquid)
Seltzer (type of soda)
Nosh (small amount of food, or to eat a small amount of food)
Eiderdown (a type of down)
Bratwurst (a type of food)
Wagnerian (a follower of composer Richard Wagner)
Prattle (utter sounds)
Sauerbraten (a type of food)
Schnauzer (a breed of dog)
Gestalt (a psychological term)
Knapsack (a backpack or book bag)
Cringle (part of a sail on a boat)
Lederhosen (leather shorts)
Einkorn (an ancient type of wheat)
Feldspar (specific types of minerals)
Bagel (a type of food)
Fife (a small type of flute)
Verboten (forbidden)
Kohlrabi (type of cabbage)
Hamster (a small animal)",,
List of English Words of Hawaiian Origin,"Akamai - clever or smart
Aloha - this has three meanings: hello, goodbye, and love
Awa - a plant belonging to the pepper family. An intoxicating beverage is made from its roots.
Haole - outsider or foreigner
Honu - a green sea turtle
Hula - a Hawaiian dance which used to be performed by men as a war dance and a symbol of masculinity, can be fast or slow
Kahuna - a priest, shaman, or wizard; also used to refer to a local or someone who has lived in Hawaii a long time.
Keiki - child
Lanai - a patio or veranda
Luau - a feast
Mahalo - thank you
Mahi Mahi - dolphin
Mano - shark
Mumu - a loose garment or dress
Ohana - family
Peles hair - named after Pele, the fire goddess of volcanoes, it is the glass fibers from a volcano
Peles tears - the solid pieces of lava
Puka - hole
Puka shells - round shells with a hole in them used in making necklaces
Taboo - from the Hawaiian word kapu, something unacceptable or forbidden
Ukulele - a little guitar
Hawaii - The Big Island
Molokai - The Friendly Isle
Niihau - The Forbidden Isle
Oahu - The Gathering Place
Kauai - The Garden Isle
Lanai - The Pineapple Isle
Maui - The Valley Isle
Kahoolawe - The Target Isle
It is the only state that grows coffee
It is totally surrounded by water
It has a royal palace
It is not geographically in North America
It is made up of islands
It does not have a straight line anywhere in its boundaries.
Bird - Hawaiian Goose (Nene)
Dance - Hula
Flower - Pua Aloalo (kind of Hibiscus)
Gem - Black Coral
Insect - Kamehameha butterfly
Mammal - Hawaiian Monk Seal
Marine Mammal - Humpback whale
Tree - Kukui Tree
Hawaii = red
Kahoolawe = gray
Kauai = purple
Lanai = orange
Maui = pink
Molokai - green
Niihau = white
Oahu = golden yellow",,
List of English Words of Hindi or Urdu Origin,"Avatar = incarnation
Bandanna = a head scarf
Bangle = a bracelet
Bungalow = type of house
Calico = cloth made of cotton which usually has a colorful pattern printed on it
Cot = portable bed
Cummerbund = piece of material worn around the waist
Cushy = soft, happy, easy
Guru = teacher or spiritual guide
Jungle = forest or wilderness
Karma = things you do
Khaki = a grayish tan color
Loot = to steal
Pajamas = leg garment
Shampoo = massage, knead the muscles
Thug = thief, trickster
Verandah = courtyard
Yoga = an Indian mental and physical practice",,
List of English Words of Italian Origin,"al dente
al fresco
amaretto
antipasto
artichoke
arugula
barista
biscotti
bologna
broccoli
calamari
cappuccino
carpaccio
ciabatta
coffee
espresso
foccacia
fettucini
gelato
lasanga
latte
linguini
macaroni
macciato
maraschino
panini
parmesan
pasta
pepperoni
pesto
pistaschio
pizza
pizzeria
polenta
proscuitto
provolone
salami
scampi
soda
spumoni
tiramisu
tortellini
trattoria
tortoni
allegro
alto
basso
bravura
bel canto
capriccio
castrato
cavatina
cello
concert
diva
folio
fantasia
forte
harmonica
intermezzo
libretto
maestro
mandola
oboe
opera
operetta
orchestra
piccolo
piano
solo
soprano
tempo
viola
algebra
caliber
granite
gonzo
influenza
lagoon
lava
malaria
medico
neutrino
pellagra
peperino
race
rocket
scalpel
torso
volcano
arcade
balcony
bronze
cameo
carpet
cartoon
corridor
facade
fiasco
figurine
gallery
grotesque
Madonna
mask
model
pastel
replica
sketch
virtue
novel
pun
scenario
sonnet
ballot
partisan
politico
alarm
alert
attack
bankrupt
ballet
balloon
bizarre
brave
bulletin
carnival
cash
casino
ciao
finale
giraffe
gondola
lottery
lotto
magazine
manage
musket
pedal
pistol
policy
tariff
umbrella
vista
zero",,
List of English Words of Japanese Origin,"Anime = Japanese animation or animation in general
Bonsai = caring for miniature trees, translates as tray gardening
Haiku = a three line poem
Karaoke = singing along with recorded music, translates as empty orchestra
Kimono = robe worn by people in Japan
Hibachi = small grill
Kabuki = a kind of Japanese theatre
Koi = a fish, carp
Matsutake = a mushroom, is considered a delicacy
Origami = artistic paper folding
Ramen = noodle soup
Sake = alcoholic drink made from rice
Sashimi = thin slices of raw fish served with a dipping sauce and wasabi
Sensei = teacher, master, doctor, or any authority figure
Shiatsu = a kind of massage
Sudoku = a number puzzle
Sushi = a dish with rice and other things, like raw fish or vegetables
Tamari = a liquid from soybeans
Tempura = vegetables and seafood that are coated with batter and deep fried
Teriyaki = cooking meat or fish in a soy sauce marinade
Tofu = fermented beans
Tsunami = a huge wave caused by earthquakes or other underwater event, translates as harbor wave
Tycoon - rich businessman
Wasabi = a green condiment which is very spicy",,
List of English Words of Russian Origin,"Babushka: An old granny or a scarf folded diagonally and tied underneath the chin
Blintz: A food term used to describe a thin pancake, often filled with a filling
Bolshevik: An extermist white ring Russian
Borsch: Soup
Commissar: A political officer responsible for providing education
Cosmonaut: A space sailor who is trained in space flight
Mammoth: An extinct animal that burrowed in the ground
Pirogi: A word that means pie in Russian
Ruble: A coin cut from a silver ingot
Samovar: A tea urn or tall pitcher that holds hot drinks
Troika: Three things or people working together
Tundra: A low temperature area
Vodka: An alcoholic drink",,
List of English Words of Spanish Origin,"English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Alligator


El lagarto


Literally, the lizard.
Anchovy


Anchova


Salt-cured fish. Most likely of Catalan origin.
Armadillo


Armadillo


A diminutive form of ""armado"" (armored).
Cockroach


Cucaracha


Derived from Latin.
Coyote


Coyote


Borrowed by Spanish from the Nahuatl language.
Mosquito


Mosquito


A diminutive form of ""mosco"" (fly).
Iguana


Iguana


Borrowed by Spanish from Arawakan languages.
Puma


Puma


Borrowed by Spanish from the Quechua language.
English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Barbecue


Barbacoa


A set up to cook meat or food over fire.
Burrito


Burrito


A diminutive form of ""burro"" (donkey).
Chocolate


Chocolate


Borrowed by Spanish from the Nahuatl language.
Chorizo


Chorizo


A type of sausage.
Churro


Churro


Originated by onomatopoeia.
Daiquiri


Daiquiri


From Daiquirí, a neighborhood in Cuba.
Jerky


Charqui


Meat that is salted and air or sun dried.
Oregano


Orégano


Derived from Latin and Greek.
Piña Colada


Piña Colada


Literally, strained pineapple.
Potato


Batata


Probably borrowed by Spanish from the Taino language.
Salsa


Salsa


Sauce. Derived from Latin.
Tortilla


Tortilla


A diminutive form of ""torta"" (cake).
English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Bodega


Bodega


Wine cellar. Derived from Latin and Greek.
Cafeteria


Cafetería


A place where coffee and other drinks are served.
Fiesta


Fiesta


Party. Derived from Latin.
Hacienda


Hacienda


An estate in the countryside. Derived from Latin.
Patio


Patio


A courtyard surrounded by walls but with no roof.
Plaza


Plaza


An open square or similar space in a town.
Ranch


Rancho


From ""rancharse"", to live in a house.
Rodeo


Rodeo


From ""rodear"", to go around.
Silo


Silo


A dry place where grains or seeds are stored.
English Term


Original Spanish Term 


Meaning/Origin of Spanish Term
Canyon


Cañón


Derived from ""caño"" (pipe or tube).
El niño


El niño


Literally, the child.
Hurricane


Huracán


Derived from the Taino language.
Mesa


Mesa


Table. Derived from Latin.
Pampa


Pampa


Derived from a Quechua term for flat.
Savanna


Sabana


A plain, especially one with no trees.
Tornado


Tronada


A thunderstorm.
Aficionado


Aficionado


An amateur or a fan. From ""afición"" (love or hobby).
Conquistador


Conquistador


Someone who conquers. Derived from Latin.
Federales


Federales


Plural form of ""federal"". Derived from Latin.
Loco


Loco


Crazy.  Probably derived from Arabic.
Matador


Matador


One who kills. Derived from Latin.
",,
List of English Words of Yiddish Origin,"Schmuck
Bagel
Lox
Schmo
Schmooze
Schlock
Schnook
Shtick
Spiel
Tush
Glitch means a slip in Yiddish, but in common English, generally refers to an error in operation.
Schlep means to carry something in Yiddish but in English usage, it means to carry oneself.
Chutzpah in Yiddish refers to improper audacity in a negative sense, while in English it has a much more positive intent.",,
List of Positive Adjectives,"Amazing
Awesome
Blithesome
Excellent
Fabulous
Fantastic
Favorable
Fortuitous
Great
Incredible
Ineffable
Mirthful
Outstanding
Perfect
Propitious
Remarkable
Smart
Spectacular
Splendid
Stellar
Stupendous
Super
Ultimate
Unbelievable
Wondrous",,
List of Romantic Words,"French = Je t'aime or Je t'adore
Greek = S'agapo
Italian = Ti amo
Hawaiian = Aloha Au Ia Oe
Russian = Ya lyublyu tebya
Spanish = Te amo or Te quiero
Love is composed of a single soul inhabiting two bodies. - Aristotle
If I had a flower for every time I thought of you, I could walk in my garden forever. - Alfred Lord Tennyson
For it was not into my ear you whispered, but into my heart. It was not my lips you kissed, but my soul. - Judy Garland
You know you're in love when you can't fall asleep because reality is finally better than your dreams. - Dr. Seuss
The spaces between your fingers were created so that another's could fill them in. - Anonymous
You hold the key to my heart.
My love for you is unconditional and eternal.
I adore you.
You are the best thing that ever happened to me.
You are my perfect match.
You are the one Ive always wished for.
You make my heart skip a beat.
Last night I looked up into the stars and matched each one with a reason why I love you. I was doing great until I ran out of stars.
I'll love you till death, and then some.
[When giving her or him a dozen roses, 11 real and 1 fake], say ""I will love you until the last rose dies.""
Before he or she finishes a sentence, kiss him or her passionately.
Draw a bath and throw in some rose petals.
Say, Youll never lose me with a gift of a compass.
When he or she is taking a shower, draw a heart on the mirror.
Kiss in private and in public.
Hold hands.
Play footsies while watching TV.
Buy a gift for no reason.",,
List of Short Vowel Words,"act
apt
ask
bat
bad
bag
cat
cap
cab
dad
dab
Dan
fan
fat
fad
gap
gab
gal
gas
ham
has
had
hat
jab
jam
lab
lad
lag
lap
man
mad
mat
map
nap
pan
Pam
pad
pal
ran
ram
rag
rat
Sam
sad
sag
sat
sap
tab
tan
tad
tag
tap
van
vat
yam
zap
Ben
bed
beg
bet
den
fed
gem
get
gel
hen
hem
jet
Ken
keg
led
leg
let
men
met
net
pen
peg
pet
red
set
ten
Ted
vet
yet
wed
wet
bin
bid
big
bit
dim
did
dig
dip
fin
fig
fit
gin
gig
him
his
hid
hit
hip
jib
Jim
jig
jip
kin
Kim
kid
kit
lid
lit
lip
nip
pin
pig
pit
rim
rid
rig
rip
sin
sit
sip
tin
tip
win
wit
zip
zit
bop
con
cod
cog
cot
cop
Don
dog
dot
fog
God
got
hog
hot
jog
jot
lob
log
lot
lop
mob
mom
mop
nod
not
pod
pot
rod
rot
son
sod
ton
Tom
tot
top
won
bun
bum
bus
bud
bug
but
cud
cut
cup
dug
fun
gun
gum
Gus
gut
hum
hug
hut
jug
jut
lug
mug
nun
nut
pun
pug
pup
rub
run
rum
rug
rut
sub
sun
sum
tug
",,
List of Transition Words,"Therefore
However
Moreover
Lastly
Next
Also
Furthermore
In addition to
Similarly
Likewise
Accordingly
Hence
Consequently
As a result
Thereby
Otherwise
Subsequently
Thus
So then
Wherefore
Generally
Usually
For the most part
As a rule
Ordinarily
Regularly
In particular
For instance
Particularly
Especially
Such as
Including
Namely
For example
As an example
In this case
Above all
Singularly
Likewise
Coupled with
Compared to
In comparison to
Together with
Besides
In brief
In short
In conclusion
In the meantime
Soon
Later
In the meanwhile
Afterward
Earlier
In summary
To summarize
Finally
Before
After
By the way
Incidentally
As a result of
Accidentally
Here
There
Over there
Opposite
Under
Beyond
In the distance
To the left
To the right",,
List of Words and Phrases Shakespeare Invented,"""Its Greek to me"" (Julius Caesar) - When you say, ""it's Greek to me"" you are admitting that you do not know or understand something.
""Fair play"" (The Tempest) - Follow the rules, especially in competitions or sports.
""All that glitters isnt gold"" (Merchant of Venice) - We usually use this phrase after we discover the fact that something that looks good turns out not to be that great.
""Wear ones heart on ones sleeve"" (Othello) - To be a hopeless romantic (or be open and honest about how you feel) is to wear one's heart on one's sleeve.
""Break the ice"" (The Taming of the Shrew) - Often when you meet someone for the first time, you ""break the ice"" by asking them polite questions about themselves.
""The lady doth protest too much"" (Hamlet) - If someone denies something more than once, you can say ""the lady doth protest too much,"" meaning you think that they feel the opposite to what they are saying.
""Clothes make the man"" (Hamlet) - Although not always true, this phrase implies that how a person dresses tells you something about who they are as a person.
""A laughing stock"" (The Merry Wives of Windsor) - To be a laughing stock is to be considered a joke by many people.
""Too much of a good thing"" (As You Like It) - It is said that ""too much of a good thing"" (i.e. money, love, food) is not necessarily good for you.
""In a pickle"" (The Tempest) - To be ""in a pickle"" is to be in trouble or a situation that you cannot easily get out of.",,
List of Words that Describe Behavior,"Caring: desire to help people
Charming: pleasant, delightful
Considerate: thinking of others
Enthusiastic: has strong feelings; ardent
Excitable: gets excited easily
Faithful: being loyal
Funny: causing people to laugh
Kind: thoughtful, caring
Pleasant: polite
Polite: exhibiting good manners
Sincere: being totally honest
Thoughtful: thinking things over
Aggressive: verbally or physically threatening
Argumentative: often arguing with people
Bossy: always telling people what to do
Deceitful: doing or saying anything to get people to do what you want or to get what you want
Domineering: constantly trying to control others
Inconsiderate: not caring about others or their feelings
Irritating: bothering people
Manic: acting just a little crazy
Manipulative: always trying to influences other people
Moody: being unpredictable; changing moods often
Rude: treating people badly; breaking social rules
Spiteful: seeking revenge; hurting others because you didnt get what you want
Thoughtless: not thinking about the effects of your actions or words
Active: always busy with something
Ambitious: strongly wants to succeed
Assertive: being outgoing and confident
Careless: not being careful; rushing into things
Cautious: being very careful
Conceited: thinks he is better than others; arrogant
Conscientious: taking time to do things right
Creative: someone who can make up things easily or think of new things
Curious: always wanting to know things
Docile: submissive, does what he is told
Extroverted: very outgoing; confident
Impulsive: saying or doing things without thinking first
Introverted: keeps to himself, doesnt share thoughts and feelings
Inventive: thinks of new ideas
Nervous: very uncomfortable
Passive: does not argue; does as he is told
Perfectionist: wants everything to be done right and perfectly
Pragmatic always sees the practical side of things
Reserved: keeps thoughts and feelings to himself
Serious: no-nonsense kind of behavior
Shy: quite and reserved; lacking in confidence
Trustworthy: simply worthy of someones trust
Volatile: changing moods very quickly",,
List of Words that Describe the United States,"Diverse
patriotic
melting pot
growing
African
Jewish
Atheist
smart
dumb
tall
short
educated
consumers
driven
musical
artistic
criminal
homeless
rich
poor
impoverished
working class
Republicans
entrepreneurs
spiritual
friendly
lovely
ugly
generous
selfish
charming
brave
strange
wicked
wonderful
abusive
witty
wonderful
clever
jazzy
creative
visual
fun
entertaining
expressive
invigorating
sensual
comical
realistic
modern
worrisome
enlightening
exhilarating
soulful
theatrical
moving
inspired
protest
eye-opening
somber
sad
exciting
addictive
thought-provoking
arid
flat
green
brown
forested
hilly
mountainous
cavernous
snow-capped
high
low
majestic
fruited
floral
inspiring
beautiful
sandy
deep
rocky
frozen
old
new
colorful
useful
grand
tropical
humid
monsoonal
drought
windy
rainy
snowy
dangerous
loud
destructive
awesome
scary
balmy
blustery
hot
hazy
foggy
freezing
icy
baking
stormy
fair
pleasant
democracy
self-governed
just
corrupt
representative
greedy
dishonest
free
liberated
symbolic
uplifting
proud
stable
indicative
valuable
popular
somber
reflective
memorable
",,
Longest Words in the English Language,"Supercalifragilisticexpialidocious
Hippopotomonstrosesquipedalian
Floccinaucinihilipilification
Aequeo- the meaning of this word is equal
Salino - the meaning of this word is containing salt
Calcalino  the meaning of this word is calcium
Ceraceo - the meaning of this word is waxy
Aluminoso  the meaning of this word is alumina
Cupreo  this word stems from the word ""copper""
Vitriolic  the meaning of this word is resembling",,
More About Words that End with the Letter Q,"Aeq: The Latin equivalent of the word equals.
Antiq: An accepted abbreviation for the words antiquary and antiquarian.
Zindiq: An Islamic word meaning free thinking.",,
Most Commonly Spoken Words in English,"the
of
and
a
to
in
is
you
that
it
he
was
for
on
are
as
with
his
they
I
at
be
this
have
from
or
one
had
by
word
but
not
what
all
were
we
when
your
can
said
there
use
an
each
which
she
do
how
their
if
will
up
other
about
out
many
then
them
these
so
some
her
would
make
like
him
into
time
has
look
two
more
write
go
see
number
no
way
could
people
my
than
first
water
been
call
who
oil
its
now
find
long
down
day
did
get
come
made
may
part",,
Performance Appraisal Buzz Words,"Teamwork
Communication is Key
Core Competencies
Empowerment: Power to the People!
",,
