Rangpur OCGT Power Plant Bangladesh,Bangladesh,Operating Fully,25.75,89.25,20,Gas Turbine,Please Select,"Rangpur, Rajshahi Division, Bangladesh",Please Select,1988-08-16,Bangladesh Power Development Board (BPDB),100,Government,,Bangladesh Power Development Board (BPDB,,,http://www.bpdb.gov.bd/download/power_plants.pdf
Saidpur OCGT Power Plant Bangladesh,Bangladesh,Operating Fully,25.782,88.908,20,Gas Turbine,Please Select,"Saidpur, Bangladesh",Please Select,1987-09-17,Bangladesh Power Development Board (BPDB),100,Government,,Bangladesh Power Development Board (BPDB,,,http://www.bpdb.gov.bd/download/power_plants.pdf
Alegrete Thermal Power Plant Brazil,Brazil,Operating Partially,-29.7837,-55.7715,66,Sub-critical Steam Turbine,Peaking Load and Backup,"Alegrete, Rio Grande do Sul, Brazil",Please Select,1968-09-17,,,,,Tractebel Energia SA,,,http://www2.tractebelenergia.com.br/asp/system/viewPage.asp?P=914&VID=default&SID=119418752140781&S=1&A=closeall&C=31039
Campos Thermal Power Plant Brazil,Brazil,Operating Partially,-21.7244,-41.3474,30,Sub-critical Steam Turbine,Peaking Load,"Campos, Rio de Janeiro, Brazil",Please Select,1968-00-00,Electrobras Furnas,100,,,Electrobras Furnas,,,http://www.furnas.com.br/frmPURelatorioAnual.aspx  and  http://www.furnas.com.br/frmPUAnuarioEstatistico.aspx  (Annual and Statistical Reports)
Cristiano Rocha Oil Power Plant Brazil,Brazil,Operating Fully,-2.9194,-60.0197,85.4,Oil Engine,Please Select,"Manaus, Amazonas, Brazil",Regional Grid,2006-11-00,Rio Amazonas Energia SA,,,Wartsila,Rio Amazonas Energia SA,,,http://www.industcards.com/ic-south-am.htm
Palmeiras de Goias Diesel Power Plant Brazil,Brazil,Operating Fully,-16.7775,-49.9396,175.56,Oil Engine,Base/Intermediate Load,"Palmeiras de Goias, Goias, Brazi",National Grid,,Bolognesi Participa��es S/A,100,,,Goi�s Geradores Service Ltda (O&M specialist responsible for services),,,
Ponta Negra (GERA) Oil Power Plant Brazil,Brazil,Operating Fully,-3.0933,-60.0739,83,Oil Engine,Please Select,"Manaus, Amazonas, Brazil",National Grid,2006-08-00,,,,Wartsila,Usina Geradora de Energia do Amazonas SA,,Development Fund of the Amazon (FDA),http://www.industcards.com/ic-south-am.htm
Porto Alegre (NUTEPA) Thermal Power Plant Brazil,Brazil,Operating Partially,-29.97029,-51.19495,24,Sub-critical Steam Turbine,Peaking Load and Backup,"left bank of the river Gravatai, Porto Alegre, Rio Grande do Sul, Brazil",Regional Grid,1968-00-00,Electrobras CGTEE,,,,Electrobras CGTEE,,,http://www.cgtee.gov.br/sitenovo/index.php?secao=39
Presidente Vargas Steel Mill Cogen Power Plant Brazil,Brazil,Operating Fully,-22.5127,-44.1088,230,Cogeneration Power and Heat Steam Turbine,Please Select,"Volta Redonda, Rio de Janeiro, Brazil",Please Select,1999-00-00,Companhia Siderurgica National (CSN),,,,Companhia Siderurgica National (CSN),,,http://www.mzweb.com.br/csn/web/conteudo_pt.asp?idioma=0&conta=28&tipo=1351
Santa Cruz Thermal Power Plant Brazil,Brazil,Operating Fully,-22.9145,-43.7656,436,Sub-critical Steam Turbine,Peaking Load and Backup,"Santa Cruz, Rio de Janeiro, Brazil",Regional Grid,1973-02-00,Furnas,,,,Furnas,,,http://www.industcards.com/st-other-brazil.htm
Sao Goncalo Thermal Power Plant Brazil (Decommissioned),Brazil,Decommissioned,-22.829,-43.0969,33,Sub-critical Steam Turbine,Please Select,"Niterio, Rio de Janeiro, Brazil",Please Select,1956-00-00,Electrobras Furnas,,,,Electrobras Furnas,,,http://www.furnas.com.br/frmPURelatorioAnual.aspx  and  http://www.furnas.com.br/frmPUAnuarioEstatistico.aspx  (Annual and Statistical Reports)
Burnside Combustion Turbines Generating Station Canada,Canada,Operating Partially,44.7147,-63.6098,132,Please Select,Please Select,"Burnside Industrial Park, Dartmouth, Nova Scotia, Canada",Please Select,,Nova Scotia Power Inc.,100,Government Crown Corporation,,Nova Scotia Power Inc.,,,http://www.ec.gc.ca/pdb/npri/npri_prev_dat_e.cfm
Centrale de Cap-aux-Meules Power Plant Canada,Canada,Operating Fully,47.3745,-61.8858,66,Please Select,Please Select,"1034, chemin Laverniere, Cap-aux-Meules, Quebec, Canada",Please Select,,Hydro Quebec,100,Government Provincial,,Hydro Quebec,,,http://www.ec.gc.ca/pdb/websol/querysite/query_e.cfm
Centrale de Tracy Oil Generating Station Canada,Canada,Operating Partially,45.996,-73.1726,600,Sub-critical Steam Turbine,Please Select,"Tracy, Quebec, Canada",Please Select,1964-00-00,Hydro Quebec,100,Government Provincial,SNC Lavalin,Hydro Quebec,,,http://www.hydroquebec.com/generation/classics/thermal/tracy/index.html
Coleson Cove Oil Generating Station Canada,Canada,Operating Fully,45.1534,-66.2025,1050,Sub-critical Steam Turbine,Please Select,"4077 King Willian Road, Saint John, NB",Please Select,1976-00-00,NB Power,100,Government Provincal,,NB Power,,,http://www.nbpower.com/html/en/safety_learning/learning/systemmap/system_map.html
Courtney Bay Oil Power Plant Canada (Shutdown),Canada,Decommissioned,45.275,-66.027,263,Sub-critical Steam Turbine,Please Select,"Courtney Bay, Saint John, New Brunswick, Canada",Please Select,1961-00-00,NB Power,,Government Provincial,,NB Power,,,http://www.nbpower.com/html/en/safety_learning/learning/systemmap/system_map.html
Dalhousie Oil Power Station Canada,Canada,Operating Fully,48.0519,-66.3702,300,Sub-critical Steam Turbine,Please Select,"Dalhousie, New Brunswick, Canada",Please Select,1969-00-00,NB Power,,Government Provincial,,NB Power,,,http://www.nbpower.com/html/en/safety_learning/learning/systemmap/system_map.html
Holyrood Thermal Generating Station Canada,Canada,Operating Fully,47.4528,-53.0975,490,Sub-critical Steam Turbine,Please Select,"Holyrood, in Conception Bay, Newfoundland, Canada.",Please Select,1970-00-00,Newfoundland and Labrador Hydro Corporation,100,Government Provincial,,Newfoundland and Labrador Hydro,,,http://en.wikipedia.org/wiki/Holyrood_Thermal_Generating_Station
Lennox Oil Gas Generating Station Canada,Canada,Operating Fully,44.144,-76.848,2120,Sub-critical Steam Turbine,Please Select,"north shore of Lake Ontario in the Town of Greater Napanee,Bath, Loyalist, Ontario, Canada",Please Select,1976-00-00,Ontario Power Generation,100,Governmant of Ontario,,Ontario Power Generation,,,http://www.opg.com/power/fossil/lennox.asp
Millbank OCGT Generating Station Canada,Canada,Operating Fully,47.0728,-65.4559,399,Gas Turbine,Please Select,"220 McHardy Road, Miramichi, New Brunswick, Canada",Please Select,1991-00-00,NB Power,,Government Provincial,,NB Power Corporation,,,http://www.nbpower.com/html/en/safety_learning/learning/systemmap/system_map.html
Tufts Cove Oil Generating Station Canada,Canada,Operating Partially,44.6763,-63.5968,350,Sub-critical Steam Turbine,Please Select,Dartmouth neighbourhood of Tufts Cove in Nova Scotia Halifax Regional Municipality,Please Select,1965-00-00,Nova Scotia Power,100,Government Provincial,,Nova Scotia Power,,,http://www.nspower.ca/en/home/environment/emissions/archivedemissionslevels/nspower_thermalgeneratingfacilities.aspx
Renca Thermal Power Plant Chile,Chile,Operating Partially,-33.4173,-70.6883,100,Sub-critical Steam Turbine,Peaking Load and Backup,"Renca, Region Metropolitana de Santiago, Chile",Regional Grid,1962-00-00,AES,71,,,AES Gener S.A.,,,http://www.aesgener.cl/Paginas/Centrales-AES.aspx
Termopacifico Power Plant Chile,Chile,Operating Fully,-27.4925,-70.3823,96,Oil Engine,Please Select,"Copiapo, III Region de Atacama, Chile",Regional Grid,2009-00-00,Generadora del Pac�fico S.A.,,,,Generadora del Pac�fico,,,
Shunde CCGT Power Plant China,China,Operating Fully,22.7918,113.1814,278,Gas Turbine,Peaking Load,"Fengsha, Guangdong, China",Please Select,1994-00-00,,,,,Shunde Sheng Power Plant  Co. Ltd,,,http://www.turbinetec.com/Download_GE_Layer.html
Termocartagena Thermal Power Plant Colombia,Colombia,Operating Fully,10.3555,-75.5109,208,Sub-critical Steam Turbine,Please Select,"Cartagena, Bolivar, Colombia",National Grid,1973-00-00,EMGESA SA,,,,EMGESA (purchased in 2006-03-02),,,http://www.codensa.com.co/paginas.aspx?cat_id=39&pub_id=743   (Sustainability Reports)
Mpila Oil Power Plant Congo Republic,Congo,Operating Fully,-4.249561,15.302549,25.6,Oil Engine,Base Load,"Brazzaville, Pool, Congo",Regional Grid,2007-10-00,,,,"Delegation Generale des Grands Travaux, Procob SA",Societe Nationale d\'Energie,,Belgian government,http://www.industcards.com/ic-africa-central.htm
Garabito ICE Power Plant Costa Rica,Costa Rica,Operating Fully,10.0444,-84.7601,200,Oil Engine,Base Load,"Montes de Oro, Puntarenas, Costa Rica",National Grid,2011-05-05,Unidad Ejecutora del Fideicomiso,,Utility,MAN Diesel & Turbo,Unidad Ejecutora del Fideicomiso,,,http://powerplants.man.eu/references/projects/ice-garabito-costa-rica
Moin I Power Plant Costa Rica,Costa Rica,Operating Fully,9.99239,-83.0999,32,Oil Engine,Please Select,"Moin, Limon, Costa Rica",National Grid,1977-02-19,Instituto Costarricense de Electricidad (ICE),100,Government,,Instituto Costarricense de Electricidad (ICE),,,http://www.grupoice.com/wps/wcm/connect/b413b60047cdee04937dfbf079241ace/termicas.pdf?MOD=AJPERES
Moin II and III Power Plant Costa Rica,Costa Rica,Operating Fully,9.9935,-83.1,234.45,Gas Turbine,Please Select,"Moin, Limon, Costa Rica",National Grid,1991-02-20,Instituto Costarricense de Electricidad (ICE),,Government,,Instituto Costarricense de Electricidad (ICE),,,http://www.grupoice.com/wps/wcm/connect/b413b60047cdee04937dfbf079241ace/termicas.pdf?MOD=AJPERES
Rijeka Thermal Power Plant Croatia,Croatia,Operating Fully,45.2862,14.5207,320,Sub-critical Steam Turbine,Peaking Load and Backup,"Southeast of Rijeka, Primorsko-Goranska, Croatia",National Grid,1978-00-00,Hrvatska elektroprivreda (HEP) d.d.,,Government,Ansaldo,Hrvatska elektroprivreda (HEP) d.d.,,,http://www.hep.hr/proizvodnja/en/basicdata/thermal/rijeka.aspx
10 October Thermal Power Plant Cuba,Cuba,Operating Fully,21.5656,-77.2711,490,Sub-critical Steam Turbine,Base Load,"Nuevitas, Camaguey, Cuba",National Grid,1978-00-00,Union Electrica,100,Government,,Union Electrica,,,
Dhekelia Power Plant Cyprus,Cyprus,Operating Fully,34.98093,33.74385,460,Sub-critical Steam Turbine,Base/Intermediate Load,"15 km east of the city of Larnaca, Larnaca, Cyprus",National Grid,1982-00-00,Electricity Authority of Cyprus,,Government,,Electricity Authority of Cyprus,,,https://www.eac.com.cy/EN/EAC/Operations/Pages/Generation.aspx
Moni Power Station Cyprus,Cyprus,Operating Fully,34.71056,33.1825,140,Combustion Turbine,Peaking Load and Backup,"20km East of Limassol, Limassol, Cyprus",National Grid,1995-00-00,Electricity Authority of Cyprus (EAC),,Government,,Electricity Authority of Cyprus (EAC),,,https://www.eac.com.cy/EN/EAC/Operations/Pages/Generation.aspx
Kyndby Thermal Power Plant Denmark,Denmark,Operating Fully,55.8134,11.8792,646,Sub-critical Steam Turbine,Peaking Load and Backup,"Hornsherred, Zealand, Denmark",National Grid,1974-00-00,DONG Energy,100,,,DONG Energy,,,http://www.dongenergy.com/EN/business%20activities/generation/activities/central_power_stations/Pages/kyndby_power_station.aspx
Abu Qir (Kir) Thermal Power Plant Egypt,Egypt,Operating Fully,31.2694,30.1409,2211,Sub-critical Steam Turbine,Please Select,"Abu Qir, 25km east of Alexandria, Al Iskandariyah, Egypt",National Grid,1983-00-00,Egyptian Electricity Holding Company,,Government,Sogea. Osman Ahmed Osman,West Delta Electricity Production Company,,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2011-12, 2012-13)"
Abu Sultan Thermal Power Plant Egypt,Egypt,Operating Fully,30.40245,32.30864,600,Sub-critical Steam Turbine,Base Load,"Al Ismailia, Egypt",National Grid,1983-00-00,Egyptian Electricity Holding Company,,Government,GE,Egyptian Electricity Holding Company,,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2006-07, 2007-08)"
Arish Thermal Power Plant Egypt,Egypt,Operating Fully,31.1162,33.6824,66,Sub-critical Steam Turbine,Please Select,"El Arish, North Sinai, Egypt",National Grid,1995-00-00,Egyptian Electricity Holding Company,,Government,,East Delta Electricity Production Company (EDEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Assiut (Asyut) Thermal Power Plant Egypt,Egypt,Operating Fully,27.1757,31.2013,90,Sub-critical Steam Turbine,Please Select,"Asyut, Egypt",National Grid,1966-00-00,Egyptian Electricity Holding Company,,Government,,Upper Egypt Electricity Production Company (UEEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Ataka (Suez) Thermal Power Plant Egypt,Egypt,Operating Fully,29.93619,32.47192,900,Sub-critical Steam Turbine,Base Load,"7 km SW of Suez City on the coast, Egypt",National Grid,1985-00-00,Egyptian Electricity Holding Company,,Government,"Siemens, Sadelmi, Electrowatt",East Delta Electricity Production Company (EDEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08,2012-13)"
Cairo West EXT Thermal Power Station Egypt,Egypt,Operating Fully,30.1383,31.1674,1360,Sub-critical Steam Turbine,Base Load,"Cairo, Egypt",National Grid,1995-00-00,Egyptian Electricity Holding Company,,Government,PGESCo,Cairo Electricity Production Company,,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Cairo West Thermal Power Station Egypt (Decommissioned),Egypt,Decommissioned,30.14085,31.16478,350,Sub-critical Steam Turbine,Base Load,"Cairo, Egypt",National Grid,1966-00-00,Egyptian Electricity Holding Company,,Government,,Cairo Electricity Production Company,,,"http://www.egelec.com/mysite1/annual%20report/annual%20report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Damanhour (old) Thermal Power Plant Egypt,Egypt,Operating Fully,31.08642,30.43097,195,Sub-critical Steam Turbine,Base/Intermediate Load,"6.5 km NW of Damanhour, Beheria, Egypt",National Grid,1968-00-00,Egyptian Electricity Holding Company,,Government,,Middle Delta Electricity Production Company (MDEPC),,,"http://www.egelec.com/mysite1/annual%20report/annual%20report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Damanhour EXT 300 Thermal Power Plant Egypt,Egypt,Operating Fully,31.08556,30.43124,300,Sub-critical Steam Turbine,Base/Intermediate Load,"6.5 km NW of Damanhour, Beheria, Egypt",National Grid,1991-00-00,Egyptian Electricity Holding Company,,Government,,Middle Delta Electricity Production Company (MDEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
El Tebbin (old) Thermal Power Plant Egypt,Egypt,Please Select,29.77050542,31.2919271,91,Please Select,Please Select,"Tebbin, South of Cairo, Egypt",Please Select,1958-00-00,Egyptian Electricity Holding Company,,Government,,Cairo Electricity Production Company,,,"http://www.egelec.com/mysite1/annual%20report/annual%20report.htm  (Annual reports 2003-04, 2006-07, 2007-08)"
El Tebbin Thermal Power Plant Egypt,Egypt,Operating Fully,29.776,31.2983,700,Sub-critical Steam Turbine,Base Load,"Tebbin, South of Cairo, Egypt",National Grid,2010-00-00,Egyptian Electricity Holding Company,,Government,"PGESCo, Orascom, INITEC",Cairo Electricity Production Company,,World Bank with a $260mn loan,http://www.egelec.com/mysite1/annual%20report/annual%20report.htm  (Annual reports 2011-2012)
El-Seiuf Thermal Power Plant Egypt (Shutdown),Egypt,Decommissioned,31.2159,29.9974,200,Sub-critical Steam Turbine,Please Select,"Alexandria, Egypt",National Grid,1961-00-00,Egyptian Electricity Holding Company,,Government,,West Delta Electricity Production Company,,,"http://www.egelec.com/mysite1/annual%20report/annual%20report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Kafr El-Dawar Thermal Power Plant Egypt,Egypt,Operating Fully,31.1293,30.1932,440,Sub-critical Steam Turbine,Base Load,"Mahmoudia, Beheria, Egypt",National Grid,1980-00-00,Egyptian Electricity Holding Company,,Government,Skoda,West Delta Electricity Production Company,,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Kuriemat I Thermal Power Plant Egypt,Egypt,Operating Fully,29.27464,31.22252,1254,Sub-critical Steam Turbine,Base Load,"90 km S of Cairo on the Nile, Giza, Egypt",National Grid,1998-00-00,Egyptian Electricity Holding Company,100,Government,"Raytheon, Daelim, K&M Engineering",Upper Egypt Electricity Production Company (EDEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Oyoun (Ayoun) Moussa Thermal Power Plant Egypt,Egypt,Operating Fully,29.91153,32.5948,640,Sub-critical Steam Turbine,Base Load,"30 km SE of Suez, Suez, Egypt",National Grid,2000-00-00,Egyptian Electricity Holding Company,,Government,"PGESCo, Bechtel",Egyptian Electricity Holding Company,,,http://www.pgesco.com/Projects/tabid/129/Default.aspx
Sharm El-Sheikh Thermal Power Plant Egypt,Egypt,Operating Fully,27.8773,34.30483,154,Gas Turbine,Peaking Load and Backup,"Sharm El-Sheikh, Sinai, Egypt",National Grid,1992-00-00,Egyptian Electricity Holding Company,,Government,,East Delta Electricity Production Company,,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Shoubra El-Kheima Thermal Power Plant Egypt,Egypt,Operating Fully,30.12385,31.23757,1260,Sub-critical Steam Turbine,Base Load,"Shoubrah el-Kheima, Cairo, Egypt",National Grid,1984-00-00,Egyptian Electricity Holding Company,,Government,"Bechtel, Dragados",Cairo Electricity Production Company,,,"http://www.egelec.com/mysite1/annual%20report/annual%20report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Sidi Krir 1 and 2 Thermal Power Plant Egypt,Egypt,Operating Fully,31.04475,29.66014,640,Sub-critical Steam Turbine,Base/Intermediate Load,"29 km West of Alexandria, Egypt",National Grid,1999-00-00,Egyptian Electricity Holding Company,,Government,PGESCo,West Delta Electricity Production Company,,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Talkha Steam210 Power Plant Egypt,Egypt,Operating Fully,31.0606,31.39555,420,Sub-critical Steam Turbine,Base Load,"Talkha City, Dakahlia, Egypt",National Grid,1993-00-00,Egyptian Electricity Holding Company,,Government,Skoda,Middle Delta Electricity Production Company (MDEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2002-2003, 2006-07, 2007-08, 2012-13)"
Walidia Thermal Power Plant Egypt,Egypt,Operating Fully,27.2111,31.1614,624,Sub-critical Steam Turbine,Please Select,"Walidiya on the Nile, Asyut, Egypt",National Grid,1992-00-00,Egyptian Electricity Holding Company,,Government,,Upper Egypt Electricity Production Company (UEEPC),,,"http://www.egelec.com/mysite1/annual report/annual report.htm  (Annual reports 2003-04, 2006-07, 2007-08, 2012-13)"
Acajutla Thermal Power Plant El Salvador,El Salvador,Operating Fully,13.5834,-89.8239,324,Mix of Steam and Combustion Turbines,Please Select,"Acajutla, Sonsonate, El Salvador",National Grid,1966-06-00,Duke Energy International,,Private,,Duke Energy International,,,http://www.duke-energy.com/about-us/businesses/international.asp#central
Nejapa IC Power Plant El Salvador,El Salvador,Operating Fully,13.7778,-89.2013,151.2,Oil Engine,Base Load,"Apopa, San Salvador, El Salvador",National Grid,1998-01-00,Inkia Energy  (Subsidary of Israel Corporation),100,Private,"Black & Veatch, Schrader Camargo",Nejapa Power Co LLC,,,http://www.cenergica.com/site/pages1.php?Id=2
Assab Thermal Power Plant Eritea,Eritrea,Operating Fully,12.9848,42.7304,8.76,Oil Engine,Base Load,"Assab, Debubawi Keyih Bahri, Eritrea",Municipal Grid,1988-00-00,Government of Eritrea,100,Government City,,Eritrean Electric Corporation (EEC),,,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2008/05/30/000334955_20080530024601/Rendered/PDF/437320PJPR0P1117382B01OFF0USE0ONLY1.pdf
Beleza Thermal Power Plant Eritea,Eritrea,Operating Fully,15.4211,38.9221,17.1,Oil Engine,Intermediate/Peak Load,"Beleza, Maeka, Eritrea",National Grid,1995-00-00,Government of Eritrea,,Government,,Eritrean Electric Corporation(EEC),,,http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2008/05/30/000334955_20080530024601/Rendered/PDF/437320PJPR0P1117382B01OFF0USE0ONLY1.pdf
Hirgigo Thermal Power Plant Eritea,Eritrea,Operating Fully,15.5786,39.4422,88,Oil Engine,Base Load,"Massawa, Semenawi Keyih Bahri, Eritrea",National Grid,2001-07-00,,,,Lahmeyer International GmbH,Eritrean Electric Corporation(EEC),,"Abu Dhabi Fund for Development, Arab Bank for Economic Development in Africa (BADEA), Kuwait Fund, Saudi Fund for Development, government of Eritrea",http://www.doosan.com/doosanengine/attach_files/cp_pdf/diesel_generation.pdf and  http://www-wds.worldbank.org/external/default/WDSContentServer/WDSP/IB/2008/05/30/000334955_20080530024601/Rendered/PDF/437320PJPR0P1117382B01OFF0USE0ONLY1.pdf
Balti Thermal Power Plant Estonia,Estonia,Operating Fully,59.3533,28.1185,765,Sub-critical Steam Turbine,Base Load,"5km SW of Narva, Ida-Viru, Estonia",National Grid,1959-00-00,Eesti Energia AS,,Government,,AS Eesti Energia Narva Elektrijaamad,,,http://en.wikipedia.org/wiki/Eesti_Energia
Estonia (Eesti) Thermal Power Plant Estonia,Estonia,Operating Fully,59.2748,27.90459,1610,Sub-critical Steam Turbine,Base Load,"20km SWS of Narva, Ida-Viru, Estonia",National Grid,1969-06-30,Eesti Energia AS,,Government,,AS Eesti Energia Narva Elektrijaamad,,,http://en.wikipedia.org/wiki/Eesti_Energia and  http://en.wikipedia.org/wiki/Narva_Power_Plants
