PLANT NAME,OPERATING COMPANY,WEBSITE NAME,CONTACT URL
Lucciana Thermal Power Plant France,Electricite de France (EDF),EDF Électricité et Gaz: Avis et Contact - Hello Watt,https://www.hellowatt.fr/fournisseurs/edf/
"Martigues Combustion Oil Power Plant, France",Electricite de France,ELECTRICITE DE FRANCE - Zauba Corp,https://www.zaubacorp.com/company/ELECTRICITE-DE-FRANCE/F01338
"Porcheville II Thermal Power Plant, France",Electricit� de France,Transport properties of anion exchange membranes in ...,https://www.sciencedirect.com/science/article/pii/S037673880081162X
Vazzio Thermal Power Plant France,Electricit� du France (EDF),Contact Edf - scribd.com,https://www.scribd.com/document/253146812/Contact-Edf
Ingolstadt Thermal Power Plant Germany,E.ON Kraftwerke GmbH,Top 25 Manager profiles at Phoenix Contact | LinkedIn,https://www.linkedin.com/title/manager-at-phoenix-contact
Aliveri Thermal Power Plant Greece,Public Power Corp (DEH),Contact PPC | PPC S.A.,https://www.dei.gr/en/ergaleia/epikoinwniste-me-ti-dei/steilte-mas-e-mail
Atherinolakkos IC Power Plant Greece,Public Power Corp (DEH),Contact PPC | PPC S.A.,https://www.dei.gr/en/ergaleia/epikoinwniste-me-ti-dei/steilte-mas-e-mail
Chania Power Plant Crete Greece,DEI Public Power Corporation,Contact PPC | PPC S.A.,https://www.dei.gr/en/ergaleia/epikoinwniste-me-ti-dei/steilte-mas-e-mail
Chios Extension Power Plant Greece,Public Power Corp (DEH),Contact PPC | PPC S.A.,https://www.dei.gr/en/ergaleia/epikoinwniste-me-ti-dei/steilte-mas-e-mail
Linoperamata Power Plant Crete Greece,DEI Public Power Corporation,Contact PPC | PPC S.A.,https://www.dei.gr/en/ergaleia/epikoinwniste-me-ti-dei/steilte-mas-e-mail
Soroni Rodos Power Plant Greece,DEI Public Power Corporation,Contact PPC | PPC S.A.,https://www.dei.gr/en/ergaleia/epikoinwniste-me-ti-dei/steilte-mas-e-mail
Alborada (Tampa) OCGT Power Plant Guatemala,TECO Guatemala,TECO Customer Service Phone Number | Contact Number | Toll ...,https://allcustomercarenumbers.net/Customer-Service-Number-TECO-040778
Arizona ICE Power Plant Guatemala,Duke Energy International,Contact Us | The Duke Energy Center,http://www.duke-energycenter.com/contact
Puerto Quetzal (PQP Barge) Oil Power Plant Guatemala,Puerto Quetzal Power LLC (PQP),puerto-quetzal.com - Contact Us,http://www.puerto-quetzal.com/web/guest/contacto?p_p_id=15&p_p_action=1&p_p_state=normal&p_p_mode=view&p_p_col_id=&p_p_col_pos=0&p_p_col_count=0&
Lufussa Pavana I II and III IC power Plant Honduras,Luz y Fuerza de San Lorenzo S.A. (Lufussa),Contact Us - Luz y Fuerza de San Lorenzo - Lufussa Honduras,http://lufussa.com/en/contact/
Tsing Yi Gas Turbine Power Plant Hong Kong,China Light and Power Company (CLP),Contact Us | CLP Group,https://www.clpgroup.com/en/contact-us
Brahmapuram Oil Power Plant India,Kerala State Electricity Board,Kerala State Electricity Board Limited - Contact Us,http://www.kseb.in/index.php?option=com_contactenhanced&view=category&id=13&Itemid=598&lang=en
GMR Vasavi (Chennai) Diesel Power Plant India,,Contact us – Google,http://www.google.com/contact/
KPCL Kasaragod Oil Power Plant India,Kasargod Power Corporation Ltd (KPCL),Contact for Business - A growing Power Generation Company,http://www.kvkenergy.com/contact.html
Kozhikode (Nallalan) KDPP Oil Power Plant India,Kerala State Electricity Board,Kerala State Electricity Board Limited - Contact Us,http://www.kseb.in/index.php?option=com_contactenhanced&view=category&id=13&Itemid=598&lang=en
