Nicaragua Sugar Estates Cogen Power Plant Nicaragua,Nicaragua,Operating Fully,12.531,-87.0474,59.3,Cogeneration Power and Heat Steam Turbine,Please Select,"Chinandega, Nicaragua",National Grid,1998-00-00,Grupo Pellas,,,,Nicaragua Sugar Estate Ltd. (NSEL),,,http://www.nicaraguasugar.com/es/que-producimos/cogeneracion/
Keppel Seghers Tuas WTE Plant Singapore,Singapore,Operating Fully,1.298678763,103.621459,22,Sub-critical Steam Turbine,Please Select,,National Grid,2009-11-02,Keppel Integrated Engineering Limited (KIE),,,Keppel Seghers,Keppel Seghers,,,http://www.nccc.gov.sg/renewables/biomass.shtm
Senoko WTE Incineration Plant Singapore,Singapore,Operating Fully,1.4624,103.79499,56,Sub-critical Steam Turbine,Base Load,"Adjacent to Senoko Power Plant, Singapore",National Grid,1992-00-00,Keppel Integrated Engineering Limited (KIE),,,Keppel Seghers,Keppel Seghers,,,http://www.keppelseghers.com/pressrelease/45/Keppel_acquires_Senoko_Incineration_Plant
Tuas South WTE Incineration Plant Singapore,Singapore,Operating Fully,1.2959,103.6205,80,Super-critical Thermal,Base Load,"South West, Singapore",National Grid,2000-00-00,National Environmental Agency (NEA),,,,National Environmental Agency (NEA),,,http://app.mewr.gov.sg/web/Contents/Contents.aspx?Yr=2000
Tuas WTE Incineration Plant Singapore,Singapore,Please Select,1.325408012,103.6349237,,Please Select,Please Select,,Please Select,1986-00-00,National Environment Agency (NEA),,,,,,,http://app.nea.gov.sg/cms/htdocs/article.asp?pid=1190
Ulu Pandan WTE Incineration Plant Singapore,Singapore,Decommissioned,1.3293,103.7585,,Sub-critical Steam Turbine,Please Select,"Central Singapore, Singapore",National Grid,1979-07-30,National Environment Agency (NEA),,,,National Environment Agency (NEA),,,http://www.env.go.jp/recycle/3r/en/asia/02_03-3/05.pdf  and  http://app2.nea.gov.sg/news_detail_2009.aspx?news_sid=20090811677203539951
Aros CHP Power Plant Sweden,Sweden,Operating Fully,59.58832,16.513581,93.5,Sub-critical Steam Turbine,Cogeneration,"Sjohagsvagen 23, Vasteras, Vastmanland, Sweden",National Grid,1969-00-00,Malarenergi AB,,City,,Malarenergi AB,,,https://www.malarenergi.se/sv/om-malarenergi/vara-anlaggningar/kraftvarmeverket-vasteras/
Vartan CHP8 Power Plant Sweden,Sweden,Operating Fully,59.352,18.10102,130,Cogeneration Power and Heat Steam Turbine,Cogeneration,"Vartan, Lidingovagen 115, Stockholm, Sweden",National Grid,2016-05-09,Fortum,50,Joint,JM Construction,Fortum Varme,,"The European Investment Bank (EIB) €260m loan, and Nordic Investment Bank (NIB)  €155m",http://www.fortum.com/en/mediaroom/pages/new-biomass-fired-chp-plant-inaugurated-in-vartan-stockholm.aspx
Kakira Bagasse Power Plant Uganda,Uganda,Operating Fully,0.5085723374,33.28982949,22,Sub-critical Steam Turbine,Please Select,"Kakira, Jinja, Uganda",Please Select,2003-00-00,Kakira Energy Company (Madhvani Group),100,CPP,,Kakira Energy Company,,,http://en.wikipedia.org/wiki/Kakira_Power_Station
2 AC Station Waste Plant IN USA,United States of America,Please Select,41.6647,-87.4369,62.4,Please Select,Please Select,"Lake County, IN, USA",Please Select,1948-01-00,Mittal USA,100,,,,,,
5 AC Station Waste Plant IN USA,United States of America,Please Select,41.629,-87.4519,81.9,Please Select,Please Select,"Lake County, IN, USA",Please Select,1996-05-00,Primary Energy Ventures,100,,,,,,
ABC Coke Waste Plant AL USA,United States of America,Please Select,33.5578,-86.8968,3.8,Please Select,Please Select,"Jefferson County, AL, USA",Please Select,1997-08-00,Drummond Company. Inc.,100,,,,,,
AES Mendota Waste Plant CA USA,United States of America,Please Select,36.7504,-120.3854,28,Please Select,Please Select,"Fresno County, CA, USA",Please Select,1989-07-00,AES NUGs,100,,,,,,
Adrian Energy Associates LLC Waste Plant MI USA,United States of America,Please Select,41.8953,-84.0675,2.4,Please Select,Please Select,"Lenawee County, MI, USA",Please Select,1994-12-00,Michigan Cogeneration Sys Inc,100,,,,,,
Agrilectric Power Partners Ltd Waste Plant LA USA,United States of America,Please Select,30.2004,-93.1257,13.6,Please Select,Please Select,"Calcasieu County, LA, USA",Please Select,1984-07-00,Agrilectric Power Partners Ltd,100,,,,,,
Akron Recycle Energy Plant Waste Plant OH USA,United States of America,Please Select,41.1244,-81.5213,4,Please Select,Please Select,"Summit County, OH, USA",Please Select,1979-06-00,Akron Thermal LP,100,,,,,,
Al Turi Waste Plant NY USA,United States of America,Please Select,41.4002,-74.3111,5.9,Please Select,Please Select,"Orange County, NY, USA",Please Select,1995-07-00,Ameresco Inc,100,,,,,,
Alabama Pine Pulp Waste Plant AL USA,United States of America,Please Select,31.5117,-87.4075,69,Please Select,Please Select,"Monroe County, AL, USA",Please Select,1991-11-00,Alabama Pulp Co Inc,100,,,,,,
Alabama River Pulp Waste Plant AL USA,United States of America,Please Select,31.5778,-87.5111,48,Please Select,Please Select,"Monroe County, AL, USA",Please Select,1978-11-00,Alabama Pulp Co Inc,100,,,,,,
Albany Landfill Gas Utilization Project Waste Plant NY USA,United States of America,Please Select,42.5985,-73.972,1.8,Please Select,Please Select,"Albany County, NY, USA",Please Select,1998-03-00,Fortistar LLC,100,,,,,,
Albany Paper Mill Waste Plant OR USA,United States of America,Please Select,44.4082,-122.6651,96,Please Select,Please Select,"Linn County, OR, USA",Please Select,1995-06-00,Weyerhaeuser Co,100,,,,,,
Aliso Water Management Agency Waste Plant CA USA,United States of America,Please Select,33.7056,-117.7586,1.2,Please Select,Please Select,"Orange County, CA, USA",Please Select,1997-03-00,South Orange Co Wastewtr Auth,100,,,,,,
Altamont Gas Recovery Waste Plant CA USA,United States of America,Please Select,37.6427,-121.8743,8.6,Please Select,Please Select,"Alameda County, CA, USA",Please Select,1969-03-00,Waste Management Inc,100,,,,,,
American Canyon Power Plant Waste Plant CA USA,United States of America,Please Select,38.51,-122.3255,1.6,Please Select,Please Select,"Napa County, CA, USA",Please Select,1985-12-00,Gas Recovery Systems,100,,,,,,
American Ref-Fuel of Delaware Valley Waste Plant PA USA,United States of America,Please Select,39.825,-75.3945,90,Please Select,Please Select,"Delaware County, PA, USA",Please Select,1991-04-00,Covanta Energy,100,,,,,,
American Ref-Fuel of Essex Waste Plant NJ USA,United States of America,Please Select,40.7375,-74.1272,69.8,Please Select,Please Select,"Essex County, NJ, USA",Please Select,1990-11-00,Covanta Energy,100,,,,,,
American Ref-Fuel of Hempstead Waste Plant NY USA,United States of America,Please Select,40.667,-73.641,78.6,Please Select,Please Select,"Nassau County, NY, USA",Please Select,1989-04-00,Covanta Energy,100,,,,,,
American Ref-Fuel of Niagara Waste Plant NY USA,United States of America,Please Select,43.0839,-79.0056,50,Please Select,Please Select,"Niagara County, NY, USA",Please Select,1980-08-00,Covanta Energy,100,,,,,,
American Ref-Fuel of SE CT Waste Plant CT USA,United States of America,Please Select,41.512,-72.0157,16.9,Please Select,Please Select,"New London County, CT, USA",Please Select,1991-12-00,Covanta Energy,100,,,,,,
Androscoggin Mill Waste Plant ME USA,United States of America,Please Select,44.5058,-70.2439,80,Please Select,Please Select,"Franklin County, ME, USA",Please Select,1964-01-00,Verso Paper Holdings LLC,100,,,,,,
Arbor Hills Waste Plant MI USA,United States of America,Please Select,42.233,-83.7516,25,Please Select,Please Select,"Washtenaw County, MI, USA",Please Select,1996-06-00,Gas Recovery Systems,100,,,,,,
Archbald Power Station Waste Plant PA USA,United States of America,Please Select,41.4844,-75.5403,83.7,Please Select,Please Select,"Lackawanna County, PA, USA",Please Select,1988-09-00,PEI Power Corp,63.7867,,,,,,
Avon Energy Partners LLC Waste Plant IL USA,United States of America,Please Select,41.8431,-87.822,3.3,Please Select,Please Select,"Cook County, IL, USA",Please Select,1997-02-00,Illinois Electricial Gen Partn,100,,,,,,
BJ Gas Recovery Waste Plant GA USA,United States of America,Please Select,33.9651,-84.0232,2.4,Please Select,Please Select,"Gwinnett County, GA, USA",Please Select,1993-09-00,Waste Management Inc,100,,,,,,
BKK Landfill Waste Plant CA USA,United States of America,Please Select,34.3209,-118.2212,11.7,Please Select,Please Select,"Los Angeles County, CA, USA",Please Select,1993-06-00,Fortistar LLC,100,,,,,,
Balefill Landfill Gas Utilization Proj Waste Plant NJ USA,United States of America,Please Select,40.9534,-74.0705,3.8,Please Select,Please Select,"Bergen County, NJ, USA",Please Select,1998-10-00,Algonquin Power,100,,,,,,
Barre Waste Plant MA USA,United States of America,Please Select,42.3468,-71.9077,1,Please Select,Please Select,"Worcester County, MA, USA",Please Select,1996-01-00,Barre Energy Partners LP,100,,,,,,
Bavarian LFGTE Waste Plant KY USA,United States of America,Please Select,38.9694,-84.7289,4,Please Select,Please Select,"Boone County, KY, USA",Please Select,2003-09-00,East Kentucky Power Coop Inc,100,,,,,,
Bay Resource Management Center Waste Plant FL USA,United States of America,Please Select,30.2695,-85.5214,13.6,Please Select,Please Select,"Bay County, FL, USA",Please Select,1987-03-00,Bay County Board-County Comm,100,,,,,,
Bayville Central Facility Waste Plant NJ USA,United States of America,Please Select,39.9034,-74.2966,7.5,Please Select,Please Select,"Ocean County, NJ, USA",Please Select,1988-09-00,Ocean County Utilities Auth,100,,,,,,
Berlin Gorham Waste Plant NH USA,United States of America,Please Select,44.4719,-71.1694,40,Please Select,Please Select,"Coos County, NH, USA",Please Select,1957-01-00,Fraser NH LLC,100,,,,,,
Berlin Waste Plant WI USA,United States of America,Please Select,43.8017,-89.0403,2.4,Please Select,Please Select,"Green Lake County, WI, USA",Please Select,2001-08-00,Wisconsin Power & Light Co,100,,,,,,
Biomass One LP Waste Plant OR USA,United States of America,Please Select,42.4363,-122.8507,25,Please Select,Please Select,"Jackson County, OR, USA",Please Select,1985-12-00,Biomass One LP,100,,,,,,
Blackburn Landfill Co-Generation Waste Plant NC USA,United States of America,Please Select,35.6582,-81.2142,2.9,Please Select,Please Select,"Catawba County, NC, USA",Please Select,1999-09-00,Catawba County,100,,,,,,
Boise Cascade International Falls Waste Plant MN USA,United States of America,Please Select,48.6069,-93.4078,29.2,Please Select,Please Select,"Koochiching County, MN, USA",Please Select,1927-01-00,Boise Cascade Corp,100,,,,,,
Boralex Ashland Waste Plant ME USA,United States of America,Please Select,46.648,-68.4381,39.6,Please Select,Please Select,"Aroostook County, ME, USA",Please Select,1993-08-00,Boralex,100,,,,,,
Boralex Beaver Livermore Falls Waste Plant ME USA,United States of America,Please Select,44.4382,-70.156,39.6,Please Select,Please Select,"Androscoggin County, ME, USA",Please Select,1992-08-00,Boralex,100,,,,,,
Boralex Chateaugay Power Station Waste Plant NY USA,United States of America,Please Select,44.8933,-74.0719,19.7,Please Select,Please Select,"Franklin County, NY, USA",Please Select,1993-02-00,Boralex,100,,,,,,
Boralex Fort Fairfield Waste Plant ME USA,United States of America,Please Select,46.7719,-67.8511,37.5,Please Select,Please Select,"Aroostook County, ME, USA",Please Select,1987-11-00,Boralex,100,,,,,,
Boralex Stratton Energy Waste Plant ME USA,United States of America,Please Select,45.1448,-70.5391,45.7,Please Select,Please Select,"Franklin County, ME, USA",Please Select,1989-11-00,Boralex,100,,,,,,
Borger Plant Waste Plant TX USA,United States of America,Please Select,35.6639,-101.4361,37.5,Please Select,Please Select,"Hutchinson County, TX, USA",Please Select,1985-02-00,Sid Richardson Carbon Ltd,100,,,,,,
Brent Run Generating Station Waste Plant MI USA,United States of America,Please Select,43.0257,-83.7082,1.6,Please Select,Please Select,"Genesee County, MI, USA",Please Select,1998-01-00,Granger Electric Co,100,,,,,,
Brickyard Energy Partners LLC Waste Plant IL USA,United States of America,Please Select,40.1863,-87.738,3.3,Please Select,Please Select,"Vermilion County, IL, USA",Please Select,1999-09-00,Illinois Electricial Gen Partn,100,,,,,,
Bridgewater Power LP Waste Plant NH USA,United States of America,Please Select,43.7144,-71.6589,20,Please Select,Please Select,"Grafton County, NH, USA",Please Select,1987-08-00,Harbert Management Corporation,62.5,,,,,,
Brookhaven Facility Waste Plant NY USA,United States of America,Please Select,40.8803,-72.8434,5.2,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1995-01-00,Zapco Energy Tactics Corp,100,,,,,,
Brunswick Cellulose Waste Plant GA USA,United States of America,Please Select,31.1722,-81.5189,72.2,Please Select,Please Select,"Glynn County, GA, USA",Please Select,1954-06-00,Brunswick Cellulose Inc,100,,,,,,
Bryant Sugar House Waste Plant FL USA,United States of America,Please Select,26.5114,-80.6192,30.5,Please Select,Please Select,"Palm Beach County, FL, USA",Please Select,1986-08-00,United States Sugar Corp,100,,,,,,
Buckeye Florida LP Waste Plant FL USA,United States of America,Please Select,30.0664,-83.5533,44.4,Please Select,Please Select,"Taylor County, FL, USA",Please Select,1953-07-00,Buckeye Florida Ltd Partners,100,,,,,,
Burney Forest Products Waste Plant CA USA,United States of America,Please Select,40.8751,-121.7023,31,Please Select,Please Select,"Shasta County, CA, USA",Please Select,1989-10-00,United States Power Fund II LP,100,,,,,,
Burney Mountain Power Waste Plant CA USA,United States of America,Please Select,40.9114,-121.6357,11.4,Please Select,Please Select,"Shasta County, CA, USA",Please Select,1985-06-00,Covanta Energy,100,,,,,,
Burns Harbor Plant Waste Plant IN USA,United States of America,Please Select,41.6328,-87.1189,176.2,Please Select,Please Select,"Porter County, IN, USA",Please Select,1970-01-00,Mittal USA,100,,,,,,
Byxbee Park Sanitary Landfill Waste Plant CA USA,United States of America,Please Select,37.2273,-121.6827,2,Please Select,Please Select,"Santa Clara County, CA, USA",Please Select,,WPI Packaging  and  Maint Co Inc,100,,,,,,
C  and  C Electric Waste Plant MI USA,United States of America,Please Select,42.25,-85.0123,3,Please Select,Please Select,"Calhoun County, MI, USA",Please Select,1995-02-00,Gas Recovery Systems,100,,,,,,
CID Gas Recovery Waste Plant IL USA,United States of America,Please Select,41.8431,-87.822,6,Please Select,Please Select,"Cook County, IL, USA",Please Select,1989-03-00,Waste Management Inc,100,,,,,,
CSL Gas Recovery Waste Plant FL USA,United States of America,Please Select,26.1525,-80.4903,11.2,Please Select,Please Select,"Broward County, FL, USA",Please Select,1989-03-00,Bio-Energy Partners,100,,,,,,
Cadillac Renewable Energy Waste Plant MI USA,United States of America,Please Select,44.2637,-85.4358,44,Please Select,Please Select,"Wexford County, MI, USA",Please Select,1993-08-00,Olympus Power LLC,49,,,,,,
Camden Resource Recovery Facility Waste Plant NJ USA,United States of America,Please Select,39.9137,-75.117,35,Please Select,Please Select,"Camden County, NJ, USA",Please Select,1991-03-00,Foster Wheeler,100,,,,,,
Central District Wastewater Treat Plant Waste Plant FL USA,United States of America,Please Select,25.6163,-80.5689,4.8,Please Select,Please Select,"Miami-Dade County, FL, USA",Please Select,1989-10-00,Miami Dade Water & Sewer Auth,100,,,,,,
Central Michigan University Waste Plant MI USA,United States of America,Please Select,43.6436,-84.8504,4.8,Please Select,Please Select,"Isabella County, MI, USA",Please Select,1990-12-00,Central Michigan University,100,,,,,,
Century Flooring Co Waste Plant AR USA,United States of America,Please Select,36.0942,-91.9112,2,Please Select,Please Select,"Izard County, AR, USA",Please Select,1980-01-00,Columbia Flooring Inc,100,,,,,,
Channel Energy Center Waste Plant TX USA,United States of America,Please Select,29.7117,-95.2269,715,Please Select,Please Select,"Harris County, TX, USA",Please Select,2001-07-00,Calpine,100,,,,,,
Charleston Resource Recovery Facility Waste Plant SC USA,United States of America,Please Select,32.8437,-79.9585,13,Please Select,Please Select,"Charleston County, SC, USA",Please Select,1989-08-00,AT&T Credit Corp,100,,,,,,
Charlotte Motor Speedway Waste Plant NC USA,United States of America,Please Select,35.3855,-80.5508,5.3,Please Select,Please Select,"Cabarrus County, NC, USA",Please Select,1999-12-00,Gas Recovery Systems,100,,,,,,
Chestnut Ridge Gas Recovery Waste Plant TN USA,United States of America,Please Select,36.119,-84.1986,3.2,Please Select,Please Select,"Anderson County, TN, USA",Please Select,1992-01-00,Waste Management Inc,100,,,,,,
Chicopee Electric Waste Plant MA USA,United States of America,Please Select,42.1336,-72.6302,2,Please Select,Please Select,"Hampden County, MA, USA",Please Select,1993-07-00,Gas Recovery Systems,100,,,,,,
Clairton Works Waste Plant PA USA,United States of America,Please Select,40.3097,-79.8819,31,Please Select,Please Select,"Allegheny County, PA, USA",Please Select,1955-01-00,United States Steel Corporation,100,,,,,,
Clewiston Sugar House Waste Plant FL USA,United States of America,Please Select,26.7417,-80.9375,56.2,Please Select,Please Select,"Hendry County, FL, USA",Please Select,1987-06-00,United States Sugar Corp,100,,,,,,
Coffin Butte Waste Plant OR USA,United States of America,Please Select,44.4835,-123.4277,2.4,Please Select,Please Select,"Benton County, OR, USA",Please Select,1995-10-00,Power Resources Cooperative,100,,,,,,
Collins Pine Project Waste Plant CA USA,United States of America,Please Select,40.3118,-121.2346,12,Please Select,Please Select,"Plumas County, CA, USA",Please Select,1985-12-00,Collins Pine Co,100,,,,,,
Colton Landfill Waste Plant CA USA,United States of America,Please Select,34.8428,-116.1729,1.3,Please Select,Please Select,"San Bernardino County, CA, USA",Please Select,2003-04-00,Fortistar LLC,100,,,,,,
Colville Indian Power  and  Veneer Waste Plant WA USA,United States of America,Please Select,48.5476,-119.7393,15.7,Please Select,Please Select,"Okanogan County, WA, USA",Please Select,2002-11-00,Colville Indian Power & Veneer,100,,,,,,
Commerce Refuse To Energy Waste Plant CA USA,United States of America,Please Select,33.9966,-118.1509,12,Please Select,Please Select,"Los Angeles County, CA, USA",Please Select,1986-11-00,Los Angeles County,50,,,,,,
Conoco Waste Plant OK USA,United States of America,Please Select,36.6892,-97.0903,66,Please Select,Please Select,"Kay County, OK, USA",Please Select,1991-06-00,Oklahoma Gas & Electric Co,100,,,,,,
ConocoPhillips Rodeo Refinery Waste Plant CA USA,United States of America,Please Select,37.9132,-121.9203,51,Please Select,Please Select,"Contra Costa County, CA, USA",Please Select,1987-05-00,ConocoPhillips,100,,,,,,
Countyside Genco LLC Waste Plant IL USA,United States of America,Please Select,42.3216,-88.0047,8.4,Please Select,Please Select,"Lake County, IL, USA",Please Select,2000-01-00,Illinois Electricial Gen Partn,100,,,,,,
Covanta Alexandria/Arlington Energy Waste Plant VA USA,United States of America,Please Select,38.8012,-77.1303,29,Please Select,Please Select,"Alexandria City County, VA, USA",Please Select,1987-10-00,Covanta Energy,100,,,,,,
Covanta Babylon Energy Waste Plant NY USA,United States of America,Please Select,40.737,-73.354,17,Please Select,Please Select,"Suffolk County, NY, USA",Please Select,1989-01-00,Covanta Energy,100,,,,,,
Covanta Bristol Energy Waste Plant CT USA,United States of America,Please Select,41.6503,-72.911,16.3,Please Select,Please Select,"Hartford County, CT, USA",Please Select,1987-12-00,Covanta Energy,100,,,,,,
Covanta Fairfax Energy Waste Plant VA USA,United States of America,Please Select,38.6894,-77.2378,124,Please Select,Please Select,"Fairfax County, VA, USA",Please Select,1990-03-00,Covanta Energy,100,,,,,,
Covanta Haverhill Waste Plant MA USA,United States of America,Please Select,42.7647,-71.1265,46,Please Select,Please Select,"Essex County, MA, USA",Please Select,1989-05-00,Covanta Energy,100,,,,,,
Covanta Hennepin Energy Waste Plant MN USA,United States of America,Please Select,44.9658,-93.2815,39.5,Please Select,Please Select,"Hennepin County, MN, USA",Please Select,1989-10-00,Covanta Energy,100,,,,,,
Covanta Indianapolis Energy Waste Plant IN USA,United States of America,Please Select,39.7845,-86.1496,6.5,Please Select,Please Select,"Marion County, IN, USA",Please Select,1988-11-00,Covanta Energy,100,,,,,,
Covanta Lake County Energy Waste Plant FL USA,United States of America,Please Select,28.7411,-81.891,15.5,Please Select,Please Select,"Lake County, FL, USA",Please Select,1990-09-00,Covanta Energy,100,,,,,,
Covanta Marion Inc Waste Plant OR USA,United States of America,Please Select,44.8992,-122.5888,13.1,Please Select,Please Select,"Marion County, OR, USA",Please Select,1986-08-00,Covanta Energy,100,,,,,,
Covanta Stanislaus Energy Waste Plant CA USA,United States of America,Please Select,37.3962,-121.1435,24,Please Select,Please Select,"Stanislaus County, CA, USA",Please Select,1988-09-00,Covanta Energy,100,,,,,,
Covanta Wallingford Energy Waste Plant CT USA,United States of America,Please Select,41.4422,-72.8354,11,Please Select,Please Select,"New Haven County, CT, USA",Please Select,1988-10-00,Connecticut Resource Recovery Authority,40,,,,,,
Covanta Warren Energy Waste Plant NJ USA,United States of America,Please Select,40.8191,-75.013,13.5,Please Select,Please Select,"Warren County, NJ, USA",Please Select,1988-09-00,Covanta Energy,100,,,,,,
Cox Waste to Energy Waste Plant KY USA,United States of America,Please Select,37.363,-85.3388,5,Please Select,Please Select,"Taylor County, KY, USA",Please Select,1995-01-00,Cox Waste-to-Energy,100,,,,,,
Coyote Canyon Steam Plant Waste Plant CA USA,United States of America,Please Select,33.6004,-117.8326,20,Please Select,Please Select,"Orange County, CA, USA",Please Select,1989-01-00,Gas Recovery Systems,100,,,,,,
Cuyahoga Regional Landfill Waste Plant OH USA,United States of America,Please Select,41.423,-81.6497,3.8,Please Select,Please Select,"Cuyahoga County, OH, USA",Please Select,1999-02-00,Fortistar LLC,100,,,,,,
DFW Gas Recovery Waste Plant TX USA,United States of America,Please Select,33.2111,-97.1108,6,Please Select,Please Select,"Denton County, TX, USA",Please Select,1988-05-00,Waste Management Inc,100,,,,,,
DG Telogia Power Waste Plant FL USA,United States of America,Please Select,30.3385,-84.8218,14,Please Select,Please Select,"Liberty County, FL, USA",Please Select,1986-07-00,CQ Inc,100,,,,,,
Dane County Landfill #2 Rodefeld Waste Plant WI USA,United States of America,Please Select,43.0676,-89.4165,2.4,Please Select,Please Select,"Dane County, WI, USA",Please Select,1997-10-00,Dane County Public Works,100,,,,,,
Davenport Water Pollution Control Plant Waste Plant IA USA,United States of America,Please Select,41.638,-90.6245,1.6,Please Select,Please Select,"Scott County, IA, USA",Please Select,1995-05-00,Davenport City of,100,,,,,,
