Word,Definition
anoint,"anoint (third-person singular simple present anoints, present participle anointing, simple past and past participle anointed)
(transitive) To smear or rub over with oil or an unctuous substance; also, to spread over, as oil.And fragrant oils the stiffened limbs anoint. —Dryden.He anointed the eyes of the blind man with the clay. —John ix. 6.
And fragrant oils the stiffened limbs anoint. —Dryden.
He anointed the eyes of the blind man with the clay. —John ix. 6.
(transitive) To apply oil to or to pour oil upon, etc., as a sacred rite, especially for consecration.Then shalt thou take the anointing oil, and pour it upon his [Aaron's] head and anoint him. —Exod. xxix. 7.Anoint Hazael to be king over Syria. —1 Kings xix. 15.
Then shalt thou take the anointing oil, and pour it upon his [Aaron's] head and anoint him. —Exod. xxix. 7.
Anoint Hazael to be king over Syria. —1 Kings xix. 15.
(transitive, figuratively) To choose or nominate somebody for a leading or otherwise important position, especially formally or officially, or as an intended successor.
(transitive, historical) To mark somebody as an official ruler, especially a king or queen, as a part of a religious ceremony.
"
another,Another of something means that there is one more of it.
ant,An ant is an insect that walks and goes in groups.
antenna,"antenna (plural antennae or antennas)
A feeler organ on the head of an insect, crab, or other animal.
An apparatus to receive or transmit radio waves and convert respectively to or from an electrical signal.
The faculty of intuitive astuteness.2006 Kelly Pyrek, Forensic Nursing, page 5, ISBN 084933540X.Most nurses believe they are born with an antenna of sorts, which is able to guide them through clinical practice and help them determine what is right and what is not...2010 Mary Lou Decostérd, Right Brain/Left Brain President: Barack Obama's Uncommon Leadership Ability, page 106, ISBN 0313380724.Obama is astute. He approaches things with the help of a sensitive antenna.
2006 Kelly Pyrek, Forensic Nursing, page 5, ISBN 084933540X.Most nurses believe they are born with an antenna of sorts, which is able to guide them through clinical practice and help them determine what is right and what is not...
2010 Mary Lou Decostérd, Right Brain/Left Brain President: Barack Obama's Uncommon Leadership Ability, page 106, ISBN 0313380724.Obama is astute. He approaches things with the help of a sensitive antenna.
"
antics,"antics
plural of antic
"
antique,An antique is something that is old for its type.
Anton,
any,some or even the smallest amount or number
anyone,"Any person. You use this when there is no limit to who might be meant. You might be able to change ""anyone"" to any person's name."
anything,"Any one of all things. You use this when there is no limit to what might be meant. You might be able to change ""anything"" to any other word."
anywhere,Any place.
apartment,An apartment is a place with several rooms in a building where other people also live.
ape,"A primate without a tail including chimpanzees, gorillas, orangutans and humans."
apology,An apology is words or actions that show you are sorry.
Apostles,
apparatus,A complex machine or instrument.
appeal,An appeal is a strong or official request.
appear,"If something appears a certain way, it looks or seems that way."
appears,The third-person singular form of appear.
appendix,An appendix is a part at the back of a book that has extra information.
apple,"An apple is a sweet, red, yellow or green fruit."
apply,"If a rule, a principle, a law, etc. applies, it has some effect on the situation."
appoint,"If you appoint someone to a job or position, you give the job to them."
approach,"If you approach something, you move closer to it."
approaching,The present participle of approach.
approve,"If a person in power approves something such as a plan, a sale, a rule, etc., they say it is OK and it may go ahead.

Synonyms: permission, allow and permit


Antonyms: reject and disapprove"
April,
aquarium,"aquarium (plural aquaria or aquariums)
A tank, often made of glass, for keeping live fish or other aquatic animals.
A public place where live fish and other aquatic animals are exhibited.
"
archery,Archery is a sport where people shoot bows and arrows.
are,"Are is the present tense, second person form of the verb be."
argue,"If you argue with someone, you debate, disagree or talk about your differing ideas."
Arnold,
around,"If 



x


{\displaystyle x}

 is around 



y


{\displaystyle y}

, 



y


{\displaystyle y}

 is in the middle and 



x


{\displaystyle x}

 is on all sides of 



y


{\displaystyle y}

."
arrest,If you are arrested you are caught by the police.
arrive,"If you arrive somewhere, you come to that place, usually the place that you planned to go to."
artist,An artist is someone who makes art.
artistic,"If something is artistic, it is an example of good art."
as,A word that is used to compare two things that are equal.
aside,"If you put something aside, you put it to the side, often because you want to use it later."
ask,To ask is to look for an answer to a question by saying it.
asks,The third-person singular form of ask.
asphalt,"asphalt (plural asphalts)
A sticky, black and highly viscous liquid or semi-solid, composed almost entirely of bitumen, that is present in most crude petroleums and in some natural deposits.
asphalt concrete, a hard ground covering used for roads and walkways.
"
assemble,"If you assemble many people or things, you bring them together."
assign,"When you assign a job to someone, you tell them to do it."
assistant,An assistant is a person who helps  another person.
astound,"astound (third-person singular simple present astounds, present participle astounding, simple past and past participle astounded)
To astonish, bewilder or dazzle.
"
at,"Used to describe where something is, or when saying something's position"
ate,The past tense of eat.
athletic,"athletic (comparative more athletic, superlative most athletic)
(not comparable) Having to do with athletes.Are you a member of the American Athletic Association?
Physically active.Since you're such an athletic person, you may wish to consider joining.
Having a muscular, well developed body, being in shape.You have such an athletic build—you must work out regularly.
An attribute of a motion or play which requires fine physical ability.The center fielder made an athletic play to snatch the ball from over the fence.
"
Atlanta,
Atlantic,
atmosphere,;  An atmosphere is a layer of gasses that surrounds a planet.
attack,To begin fighting with.
attempt,"An attempt is a try at something, usually something difficult"
attentive,"attentive (comparative more attentive, superlative most attentive)
Paying attention; noticing, watching, listening, or attending closely.She is an attentive listener, but does not like to talk much.
Courteous; mindful.a husband attentive to his wife's needs
"
attorney,"attorney (plural attorneys)
(US) A lawyer; one who advises or represents others in legal matters as a profession.
(UK 19th century and earlier) One such who practised in the courts of the common law (cf solicitor, proctor).
(Britain, 20th century and later, rare, usually pejorative) A solicitor.
(obsolete outside set phrases) An agent or representative authorized to act on someone else's behalf.
(Philippines) A title given to lawyers and notaries public, or those holders by profession who also do other jobs. Usually capitalized or abbreviated as Atty.
"
attractively,"attractively (comparative more attractively, superlative most attractively)
In an attractive manner; with the power of attracting or drawing to.
"
auburn,Auburn is a color often used to describe hair color.
August,
authentic,Of the same origin as claimed; genuine.
author,An author is the creator of a work; a writer.
authority,To have authority means to have the power to make a decision.
authorize,To authorize someone is to give them power or permission.
autograph,"autograph (plural autographs)
A person’s own handwriting, especially the signature of a famous or admired person.
A manuscript in the author’s handwriting.
"
autographs,"autograph (plural autographs)
A person’s own handwriting, especially the signature of a famous or admired person.
A manuscript in the author’s handwriting.
"
automatic,"If something is automatic, it works by itself.

Antonym: manual"
autopsy,"autopsy (plural autopsies)
A dissection performed on a cadaver to find possible cause(s) of death.
An after-the-fact examination, especially of the causes of a failure.
(rare) An eyewitness observation, the presentation of an event as witnessed.
"
autumn,"The season when the weather is getting colder, after summer and before winter."
available,"If something is available, it exists and you can use it."
avid,"avid (comparative more avid, superlative most avid)
enthusiastic; passionate; longing eagerly; eager; greedyI'm an avid reader.1996, Janette Turner Hospital, Oyster, Virago Press, paperback edition, page 3We waited for something to happen, for anything to happen, we were avid for some event to unfold itself out of the burning nothing to save us.
1996, Janette Turner Hospital, Oyster, Virago Press, paperback edition, page 3We waited for something to happen, for anything to happen, we were avid for some event to unfold itself out of the burning nothing to save us.
"
awaits,"awaits
plural of await
"
awake,"Alert, not asleep."
award,An award is something that you give to someone who has done something very well.
awards,The plural form of award; more than one award.
away,"When something moves away from something else, the distance between them gets bigger. They are no longer near or close."
awning,"awning (plural awnings)
A rooflike cover, usually of canvas, extended over or before any place as a shelter from the sun, rain, or wind.
(nautical) That part of the poop deck which is continued forward beyond the bulkhead of the cabin.
"
awoke,The past tense of awake.
ax,Ax is another way of spelling axe.
babe,"A baby or infant, often used in poetry."
Babs,
baby,"A very young child, less than two years old, who has not yet learned how to speak.

Synonyms: child and infant"
back,Toward the rear.
background,The background is what can be seen or heard behind other things that are closer or louder.
bad,"If something is bad, it is not good."
badminton,Badminton is a sport where players hit a shuttlecock over a high net using long handled racquets.
bag,"Bags are containers made of soft material like paper, plastic or leather."
baggy,"When clothes are baggy, they are very loose."
bags,The plural form of bag; more than one bag.
bail,A bail is an amount of money paid for the release of someone who has been arrested with the promise that he/she will appear in court for a trial.
Bailey's,
bait,Bait is food placed on a hook to catch fish or other animals
bake,"If you bake something, you cook it with dry heat all around it, usually in an oven."
bakery,A bakery is a place where bread and similar kinds of food are baked and sold.
bakes,The third-person singular form of bake.
bald,Someone who is bald has no hair on his or her head.
baldness,"baldness (countable and uncountable, plural baldnesses)
The state of being bald.My baldness was the result of radiotherapy.the baldness of an assertion
"
bale,"A bale is a large bundle, or package, tied with wire, rope, or string."
ball,A ball is a round thing. People often use them to play games.
balmy,"balmy (comparative balmier, superlative balmiest)
Producing balm.
Soothing or fragrant.
Mild and pleasant.
(informal) Foolish; slightly crazy or mad; eccentric.Roald Dahl, Parson's Pleasure'I reckon he's balmy,' Claud said, and Bert grinned darkly, rolling his misty eye slowly round in its socket.
Roald Dahl, Parson's Pleasure'I reckon he's balmy,' Claud said, and Bert grinned darkly, rolling his misty eye slowly round in its socket.
"
ban,"If you ban someone, you disallow or block someone from doing something."
banana,A long fruit with smooth yellow skin.
band,A band is a group of people working together.
bandit,"A bandit is person, usually in a group, who uses guns to rob people."
bang,A bang is a short loud noise like the sound of a door closing or a gun being shot.
bank,A building where you can keep and borrow money.
bankrupt,If you are bankrupt you have declared bankruptcy .
barber,A barber is a person whose job is cutting hair and shaving beards.
barely,"b""barely (not comparable)\n(degree) By a small margin.1748, David Hume, Enquiries concerning the human understanding and concerning the principles of moral, Oxford University Press (1973), section 8:It becomes, therefore, no inconsiderable part of science barely to know the different operations of mind,1925, Walter Anthony and Tom Reed (titles), Rupert Julian (director), The Phantom of the Opera, silent movie\xe2\x80\x98It is barely possible you may hear of a ghost, a Phantom of the Opera!\xe2\x80\x99\n1748, David Hume, Enquiries concerning the human understanding and concerning the principles of moral, Oxford University Press (1973), section 8:It becomes, therefore, no inconsiderable part of science barely to know the different operations of mind,\n1925, Walter Anthony and Tom Reed (titles), Rupert Julian (director), The Phantom of the Opera, silent movie\xe2\x80\x98It is barely possible you may hear of a ghost, a Phantom of the Opera!\xe2\x80\x99\n(degree) Almost not at all.The plane is so far away now I can barely see it.Yes, it is barely visible.2011 October 23,  Phil McNulty,  \xe2\x80\x9cMan Utd 1 - 6 Man City\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[1]:In contrast to what was to come, City were barely allowed any time to settle on the ball in the opening exchanges, with Ashley Young prominent and drawing heavy fouls from Micah Richards and James Milner.\n2011 October 23,  Phil McNulty,  \xe2\x80\x9cMan Utd 1 - 6 Man City\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[1]:In contrast to what was to come, City were barely allowed any time to settle on the ball in the opening exchanges, with Ashley Young prominent and drawing heavy fouls from Micah Richards and James Milner.\n(archaic) merely.1661,  Robert Boyle,  The Sceptical Chymist, page 29:Now that fire do's not alwayes barely separate the Elementary parts, but sometimes at least alter also the Ingredients of Bodies [\xe2\x80\xa6]\n1661,  Robert Boyle,  The Sceptical Chymist, page 29:Now that fire do's not alwayes barely separate the Elementary parts, but sometimes at least alter also the Ingredients of Bodies [\xe2\x80\xa6]"""
bark,The outside part of a tree; the skin of the tree.
barn,A barn is a building found on a farm where animals live .
Barney's,
barrel,A barrel is a tall and round container.
barrels,The plural form of barrel; more than one barrel.
barren,"b""barren (comparative barrener or more barren, superlative barrenest or most barren)\n(not comparable) Unable to bear children; sterile.I silently wept as my daughter's husband rejected her. What would she do now that she was no longer a maiden but also barren?\nOf poor fertility, infertile; not producing vegetation.Thomas Macaulay (1800\xe2\x80\x931859)barren mountain tracts2014 December 23,  Olivia Judson,  \xe2\x80\x9cThe hemiparasite season [print version: Under the hemiparasite, International New York Times, 24\xe2\x80\x9325 December 2014, p.\xc2\xa07]\xe2\x80\x9d, in  The New York Times\xe2\x80\x8e[1]:The druids [\xe2\x80\xa6] believed that mistletoe could make barren animals fecund, and that it was an antidote to all poisons.\nThomas Macaulay (1800\xe2\x80\x931859)barren mountain tracts\n2014 December 23,  Olivia Judson,  \xe2\x80\x9cThe hemiparasite season [print version: Under the hemiparasite, International New York Times, 24\xe2\x80\x9325 December 2014, p.\xc2\xa07]\xe2\x80\x9d, in  The New York Times\xe2\x80\x8e[1]:The druids [\xe2\x80\xa6] believed that mistletoe could make barren animals fecund, and that it was an antidote to all poisons.\nBleak.1922,  Michael Arlen,  \xe2\x80\x9cEp./4/2\xe2\x80\x9d, in  \xe2\x80\x9cPiracy\xe2\x80\x9d: A Romantic Chronicle of These Days:As they turned into Hertford Street they startled a robin from the poet's head on a barren fountain, and he fled away with a cameo note.\n1922,  Michael Arlen,  \xe2\x80\x9cEp./4/2\xe2\x80\x9d, in  \xe2\x80\x9cPiracy\xe2\x80\x9d: A Romantic Chronicle of These Days:As they turned into Hertford Street they startled a robin from the poet's head on a barren fountain, and he fled away with a cameo note.\nUnproductive; fruitless; unprofitable; empty.William H. Prescott (1796-1859)brilliant but barren reveriesJonathan Swift (1667\xe2\x80\x931745)Some schemes will appear barren of hints and matter.2011 September 2,  Phil McNulty,  \xe2\x80\x9cBulgaria 0-3 England\xe2\x80\x9d, in  BBC:Rooney had been suffered a barren spell for England with only one goal in 15 games but he was in no mood to ignore the gifts on offer in front of an increasingly subdued Bulgarian support.\nWilliam H. Prescott (1796-1859)brilliant but barren reveries\nJonathan Swift (1667\xe2\x80\x931745)Some schemes will appear barren of hints and matter.\n2011 September 2,  Phil McNulty,  \xe2\x80\x9cBulgaria 0-3 England\xe2\x80\x9d, in  BBC:Rooney had been suffered a barren spell for England with only one goal in 15 games but he was in no mood to ignore the gifts on offer in front of an increasingly subdued Bulgarian support.\nMentally dull; stupid.William Shakespeare, Hamlet, III.ii. ca. 1602Set on some quantity of barren spectators to laugh too.\nWilliam Shakespeare, Hamlet, III.ii. ca. 1602Set on some quantity of barren spectators to laugh too."""
barricade,"barricade (plural barricades)
A barrier constructed across a road, especially as a military defence
An obstacle, barrier, or bulwark.DerhamSuch a barricade as would greatly annoy, or absolutely stop, the currents of the atmosphere.
DerhamSuch a barricade as would greatly annoy, or absolutely stop, the currents of the atmosphere.
(figuratively, in the plural) A place of confrontation."
base,"The lower part of anything; the solid part that touches the floor or touches the earth and keeps the other parts of the thing up.

Synonym: foundation"
baseball,"A sport where you try to hit a ball so that you can run to four bases, causing a run. The team with the most runs after nine or more innings wins."
basement,A basement is part of a house or building that is under the ground.
basic,"When something is basic, it is simple."
bask,"b'bask (third-person singular simple present basks, present participle basking, simple past and past participle basked)\nTo bathe in warmth; to be exposed to pleasant heat.to bask in the sunGoldsmith[\xe2\x80\xa6] basks in the glare, and stems the tepid wave.\nGoldsmith[\xe2\x80\xa6] basks in the glare, and stems the tepid wave.\n(figuratively) To take great pleasure or satisfaction; to feel warmth or happiness. (This verb is usually followed by ""in"").I basked in her love.to bask in someone\'s favour2012 November 7,  Matt Bai,  \xe2\x80\x9cWinning a Second Term, Obama Will Confront Familiar Headwinds\xe2\x80\x9d, in  New York Times\xe2\x80\x8e[1]:As President Obama turns his attention once again to filling out a cabinet and writing an Inaugural Address, this much is clear: he should not expect to bask in a surge of national unity, or to witness a crowd of millions overrun the Mall just to say they were there.2011 April 10,  Alistair Magowan,  \xe2\x80\x9cAston Villa 1 - 0 Newcastle\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[2]:On this evidence they will certainly face tougher tests, as a depleted Newcastle side seemed to bask in the relative security of being ninth in the table\n2012 November 7,  Matt Bai,  \xe2\x80\x9cWinning a Second Term, Obama Will Confront Familiar Headwinds\xe2\x80\x9d, in  New York Times\xe2\x80\x8e[1]:As President Obama turns his attention once again to filling out a cabinet and writing an Inaugural Address, this much is clear: he should not expect to bask in a surge of national unity, or to witness a crowd of millions overrun the Mall just to say they were there.\n2011 April 10,  Alistair Magowan,  \xe2\x80\x9cAston Villa 1 - 0 Newcastle\xe2\x80\x9d, in  BBC Sport\xe2\x80\x8e[2]:On this evidence they will certainly face tougher tests, as a depleted Newcastle side seemed to bask in the relative security of being ninth in the table'"
basket,"A basket is something like a bucket but with many holes like a net, made of soft sticks or grass or other long, thin material. People put things in the basket."
basketball,A ball game with two teams of five players. A goal is scored when a player throws the ball into a net  at each end of the court.
bass,The bass is a sound that is generally lower in tone.
bat,"A bat is a small, furry animal  that has wings and can fly."
batch,A batch of things or people is a group that are dealt with at one time.
bath,"A long, high basin that you put water in and go in to wash your body."
bathe,"When you bathe, you clean yourself with water.

Synonym: bath"
bathrobe,"bathrobe (plural bathrobes)
A robe usually made of terrycloth intended to be worn when one is still damp from bathing or when there is no immediate need to dress fully."
bathroom,A bathroom is a room that has a bathtub or a shower.
batter,A batter is somebody who is supposed to hit a ball with a bat.
battle,"A battle is when different groups or teams fight each other.

Synonyms: action, conflict, contest and fight"
bawl,"bawl (third-person singular simple present bawls, present participle bawling, simple past and past participle bawled)
(transitive) To shout or utter in a loud and intense manner.
(intransitive) To wail; to give out a blaring cry."
bay,A bay is water with land around most of it.
be,"This verb tells us that a thing is present, or in a place."
beach,"A large area of sand , next to an area of water."
bean,Beans are the seeds of one family of plants that people often cook and eat.
beans,The plural form of bean; more than one bean.
bear,"A bear is a big animal with a short tail. They either eat only meat or meat and plants. There are many different types of bears, for example brown bears and polar bears."
bears,The plural form of bear; more than one bear.
beat,"If you beat someone or something, you hit it, usually many times.

Synonyms: hit, assault and batter"
beaten,The past participle of beat.
beautiful,"If something is beautiful, it is very good to look at it."
beauty,Beauty is the quality of being nice to look at.
because,You use because to show the reason for something
become,"If 



x


{\displaystyle x}

 becomes 



y


{\displaystyle y}

, it changes into 



y


{\displaystyle y}

 or changes to be more 



y


{\displaystyle y}

."
bed,A piece of furniture to sleep on.
beds,The plural form of bed; more than one bed.
bedtime,The bedtime is the time when someone goes to bed.
beech,"b'beech (plural beeches)\nA tree of the genus Fagus having a smooth, light grey trunk, oval, pointed leaves and many branches.1907,  Harold Edward Bindloss,  chapter 1, in  The Dust of Conflict\xe2\x80\x8e[1]:A beech wood with silver firs in it rolled down the face of the hill, and the maze of leafless twigs and dusky spires cut sharp against the soft blueness of the evening sky.\n1907,  Harold Edward Bindloss,  chapter 1, in  The Dust of Conflict\xe2\x80\x8e[1]:A beech wood with silver firs in it rolled down the face of the hill, and the maze of leafless twigs and dusky spires cut sharp against the soft blueness of the evening sky.\nThe wood of the beech tree.'"
beef,Beef is the meat of a cow.
been,The past participle of be.
bees,The plural form of bee; more than one bee.
beets,"beets
plural of beet"
before,"If 



x


{\displaystyle x}

 happens before 



y


{\displaystyle y}

, 



x


{\displaystyle x}

 happens first and 



y


{\displaystyle y}

 happens second."
begin,"When you begin something, you start to do the first part of a longer action."
begs,The third-person singular form of beg.
behave,How you behave is what you do or how you act.
belch,"When something belches, it releases in large amounts 

Synonym: burp"
belief,A belief is an idea that is thought to be true.
believe,"When you believe, you have faith in something."
believes,The third-person singular form of believe.
believing,The present participle of believe.
bell,A bell is an object that is shaped like a cup that makes a ringing sound when hit.
bells,The plural form of bell; more than one bell.
belt,"A belt is a piece of clothing worn around a person's waist. They can be used to hold up trousers or skirts, or for carrying things in pockets, such as on a utility belt."
Ben,
bench,A long seat.
benches,The plural form of bench; more than one bench.
bend,To change the shape of an object so that it is not straight.
bent,With one part going in one direction and another part going in another direction.
berm,"berm (plural berms)
A narrow ledge or shelf, as along the top or bottom of a slope
A raised bank or path, especially the bank of a canal opposite the towpath
A terrace formed by wave action along a beach
A mound or bank of earth, used especially as a barrier or to provide insulation
A ledge between the parapet and the moat in a fortification
(regional, Pennsylvania) A strip of land between a street and sidewalk"
Bernard,
berry,"A small, round fruit that grows on some plants and trees."
Bert,
Bertha,
Bess,
Bess's,
best,The superlative form of good; most good.
bet,"When you bet, you take a chance with money or something else on the result of a future event."
Beth,
Beth's,
Betsy,
Betty,
Bev,
bib,"bib (plural bibs)
An item of clothing for babies tied around their neck to protect their clothes from getting dirty when eating.
Similar items of clothing such as the Chinese dudou and Vietnamese yem.
(sports) A rectangular piece of material, carrying a bib number, worn as identification by entrants in a race
(sports) A colourful polyester or plastic vest worn over one's clothes, usually to mark one's team during group activities.
The upper part of an apron or overalls.
A patch of colour around an animal's upper breast and throat.1950, Arthur Cleveland Bent, Life Histories of North American Wagtails, Shrikes, Vireos, and their AlliesIn summer the whole throat and breast are black, but in winter plumage the throat is white bounded by a horseshoe-shaped black bib.2011, Arthur Peacock, Gettysburg the Cat (page 22)He don't look anything like the captain. This here cat has got a nice thick black coat of fur with a nice white bib and white feet.
1950, Arthur Cleveland Bent, Life Histories of North American Wagtails, Shrikes, Vireos, and their AlliesIn summer the whole throat and breast are black, but in winter plumage the throat is white bounded by a horseshoe-shaped black bib.
2011, Arthur Peacock, Gettysburg the Cat (page 22)He don't look anything like the captain. This here cat has got a nice thick black coat of fur with a nice white bib and white feet.
A north Atlantic fish (Trisopterus luscus), allied to the cod; the pouting.
A bibcock."
Bible,
bibs,"bibs
plural of bib"
bid,A bid is an offer to enter into a contract to buy something or to do some kind of job.
Biff,
big,"If something is big, it is large in size; tall, wide, long, or fat.

Synonyms: good, great, high and large


Antonyms: little and small"
bike,A short form of bicycle.
bilk,"bilk (plural bilks)
(cribbage) The spoiling of someone's score in the crib.
(obsolete) A deception, a hoax."
Bill,
billion,"The number 1,000,000,000 ."
billionth,"billionth (not comparable)
The ordinal form of the number one billion."
Bill's,
Billy,
bin,"A bin is a container for garbage.

Synonyms: garbage can, trash can and waste paper basket"
